"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:13,
2009-09,18286,
2009-10,18388,
2009-11,18323,
2009-12,19285,
2010-01,19204,
2010-02,19332,
2010-03,20224,
2010-04,20022,
2010-05,19036,
2010-06,19156,
2010-07,19585,
2010-08,19446,
2010-09,20343,
2010-10,20690,
2010-11,20981,
2010-12,21938,
2011-01,21291,
2011-02,21489,
2011-03,20845,
2011-04,20996,
2011-05,21118,
2011-06,20336,
2011-07,20288,
2011-08,18468,
2011-09,17760,
2011-10,17799,
2011-11,17814,
2011-12,18259,
2012-01,18972,
2012-02,19580,
2012-03,19487,
2012-04,19673,
2012-05,18977,
2012-06,19530,
2012-07,20650,
2012-08,20463,
2012-09,20534,
2012-10,20220,
2012-11,20056,
2012-12,20623,
2013-01,20342,
2013-02,20585,
2013-03,21386,
2013-04,21315,
2013-05,21236,
2013-06,20038,
2013-07,21028,
2013-08,20803,
2013-09,21549,
2013-10,21947,
2013-11,22210,
2013-12,22218,
2014-01,21544,
2014-02,22181,
2014-03,21713,
2014-04,21815,
2014-05,22324,
2014-06,22604,
2014-07,22471,
2014-08,22898,
2014-09,23062,
2014-10,23189,
2014-11,23991,
