"",BBK01.CEBF10,BBK01.CEBF10_FLAGS
"",longer-term loans debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:18,
1991-01,419.2,
1991-04,429.6,
1991-07,453.2,
1991-10,467.7,
1992-01,483.8,
1992-04,494.3,
1992-07,507.3,
1992-10,506.5,
1993-01,516.5,
1993-04,530.9,
1993-07,546.2,
1993-10,561.0,
1994-01,549.1,
1994-04,557.5,
1994-07,563.9,
1994-10,549.5,
1995-01,566.1,
1995-04,577.9,
1995-07,580.7,
1995-10,585.1,
1996-01,594.7,
1996-04,604.9,
1996-07,610.6,
1996-10,617.0,
1997-01,627.3,
1997-04,627.7,
1997-07,638.9,
1997-10,653.0,
1998-01,659.6,
1998-04,665.2,
1998-07,679.1,
1998-10,695.8,
1999-01,636.6,
1999-04,644.8,
1999-07,672.8,
1999-10,696.4,
2000-01,698.3,
2000-04,712.6,
2000-07,721.5,
2000-10,744.2,
2001-01,751.4,
2001-04,762.7,
2001-07,778.6,
2001-10,793.3,
2002-01,813.7,
2002-04,831.2,
2002-07,838.2,
2002-10,843.5,
2003-01,846.8,
2003-04,849.2,
2003-07,845.9,
2003-10,843.5,
2004-01,843.3,
2004-04,843.2,
2004-07,832.8,
2004-10,830.1,
2005-01,809.2,
2005-04,810.6,
2005-07,811.3,
2005-10,802.4,
2006-01,826.7,
2006-04,833.4,
2006-07,848.0,
2006-10,844.1,
2007-01,845.6,
2007-04,846.2,
2007-07,847.4,
2007-10,872.8,
2008-01,864.7,
2008-04,872.4,
2008-07,885.3,
2008-10,896.6,
2009-01,910.4,
2009-04,917.0,
2009-07,908.7,
2009-10,913.5,
2010-01,908.2,
2010-04,910.0,
2010-07,916.9,
2010-10,919.8,
2011-01,916.4,
2011-04,925.1,
2011-07,927.6,
2011-10,946.0,
2012-01,945.0,
2012-04,952.3,
2012-07,968.5,
2012-10,969.8,
2013-01,976.5,
2013-04,978.7,
2013-07,976.2,
2013-10,988.0,
2014-01,977.9,
