"",BBK01.QU3626,BBK01.QU3626_FLAGS
"",Banks in Germany: Long-term liabilities to non-residents / Belgium / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:09:11,
1982-06,0.967,
1982-07,0.551,
1982-08,0.532,
1982-09,0.547,
1982-10,0.515,
1982-11,0.567,
1982-12,0.572,
1983-01,0.626,
1983-02,0.621,
1983-03,0.620,
1983-04,0.626,
1983-05,0.617,
1983-06,0.622,
1983-07,0.633,
1983-08,0.653,
1983-09,0.664,
1983-10,0.711,
1983-11,0.650,
1983-12,0.662,
1984-01,0.608,
1984-02,0.570,
1984-03,0.580,
1984-04,0.560,
1984-05,0.563,
1984-06,0.527,
1984-07,0.503,
1984-08,0.490,
1984-09,0.467,
1984-10,0.432,
1984-11,0.420,
1984-12,0.432,
1985-01,0.427,
1985-02,0.401,
1985-03,0.365,
1985-04,0.375,
1985-05,0.349,
1985-06,0.336,
1985-07,0.322,
1985-08,0.308,
1985-09,0.302,
1985-10,0.302,
1985-11,0.378,
1985-12,0.344,
1986-01,0.359,
1986-02,0.342,
1986-03,0.347,
1986-04,0.339,
1986-05,0.337,
1986-06,0.335,
1986-07,0.325,
1986-08,0.326,
1986-09,0.322,
1986-10,0.349,
1986-11,0.322,
1986-12,0.337,
1987-01,0.311,
1987-02,0.293,
1987-03,0.294,
1987-04,0.331,
1987-05,0.356,
1987-06,0.364,
1987-07,0.385,
1987-08,0.396,
1987-09,0.374,
1987-10,0.381,
1987-11,0.389,
1987-12,0.375,
1988-01,0.405,
1988-02,0.473,
1988-03,0.500,
1988-04,0.528,
1988-05,0.523,
1988-06,0.487,
1988-07,0.474,
1988-08,0.474,
1988-09,0.481,
1988-10,0.491,
1988-11,0.492,
1988-12,0.492,
1989-01,0.550,
1989-02,0.556,
1989-03,0.554,
1989-04,0.561,
1989-05,0.596,
1989-06,0.587,
1989-07,0.594,
1989-08,0.592,
1989-09,0.603,
1989-10,0.596,
1989-11,0.586,
1989-12,0.658,
1990-01,0.635,
1990-02,0.644,
1990-03,0.620,
1990-04,0.618,
1990-05,0.617,
1990-06,1.065,
1990-07,1.037,
1990-08,1.033,
1990-09,1.059,
1990-10,1.068,
1990-11,1.072,
1990-12,1.024,
1991-01,1.006,
1991-02,0.970,
1991-03,1.000,
1991-04,1.001,
1991-05,0.956,
1991-06,0.979,
1991-07,1.258,
1991-08,1.354,
1991-09,1.319,
1991-10,1.285,
1991-11,1.306,
1991-12,1.265,
1992-01,1.257,
1992-02,1.287,
1992-03,1.325,
1992-04,1.277,
1992-05,1.280,
