"",BBFN1.M.DE.N.1.L.LU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:30,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,0.201,
1995-01,0.207,
1995-02,0.200,
1995-03,0.244,
1995-04,0.259,
1995-05,0.255,
1995-06,0.291,
1995-07,0.187,
1995-08,0.189,
1995-09,0.192,
1995-10,0.209,
1995-11,0.215,
1995-12,0.233,
1996-01,0.217,
1996-02,0.234,
1996-03,0.270,
1996-04,0.248,
1996-05,0.274,
1996-06,0.218,
1996-07,0.224,
1996-08,0.223,
1996-09,0.291,
1996-10,0.270,
1996-11,0.277,
1996-12,0.284,
1997-01,0.301,
1997-02,0.329,
1997-03,0.326,
1997-04,0.349,
1997-05,0.357,
1997-06,0.289,
1997-07,0.256,
1997-08,0.245,
1997-09,0.239,
1997-10,0.269,
1997-11,0.286,
1997-12,0.269,
1998-01,0.290,
1998-02,0.319,
1998-03,0.353,
1998-04,0.356,
1998-05,0.390,
1998-06,0.311,
1998-07,0.271,
1998-08,0.238,
1998-09,0.269,
1998-10,0.279,
1998-11,0.299,
1998-12,0.284,
1999-01,0.321,
1999-02,0.295,
1999-03,0.328,
1999-04,0.343,
1999-05,0.328,
1999-06,0.356,
1999-07,0.299,
1999-08,0.318,
1999-09,0.338,
1999-10,0.321,
1999-11,0.345,
1999-12,0.316,
2000-01,0.321,
2000-02,0.340,
2000-03,0.381,
2000-04,0.385,
2000-05,0.421,
2000-06,0.348,
2000-07,0.408,
2000-08,0.391,
2000-09,0.396,
2000-10,0.428,
2000-11,0.443,
2000-12,0.448,
2001-01,0.450,
2001-02,0.438,
2001-03,0.482,
2001-04,0.541,
2001-05,0.518,
2001-06,0.667,
2001-07,0.634,
2001-08,0.645,
2001-09,0.643,
2001-10,0.671,
2001-11,0.758,
2001-12,0.765,
2002-01,0.660,
2002-02,0.736,
2002-03,0.740,
2002-04,0.783,
2002-05,0.792,
2002-06,0.833,
2002-07,0.796,
2002-08,0.732,
2002-09,0.791,
2002-10,0.782,
2002-11,0.662,
2002-12,0.636,
2003-01,0.642,
2003-02,0.674,
2003-03,0.713,
2003-04,0.665,
2003-05,0.658,
2003-06,0.675,
2003-07,0.690,
2003-08,0.590,
2003-09,0.610,
2003-10,0.629,
2003-11,0.647,
2003-12,0.712,
2004-01,0.674,
2004-02,0.623,
2004-03,0.636,
2004-04,0.581,
2004-05,0.604,
2004-06,0.627,
2004-07,0.611,
2004-08,0.567,
2004-09,0.627,
2004-10,0.689,
2004-11,0.769,
2004-12,0.684,
2005-01,0.708,
2005-02,0.705,
2005-03,0.738,
2005-04,0.667,
2005-05,0.671,
2005-06,0.694,
2005-07,0.736,
2005-08,0.663,
2005-09,0.745,
2005-10,0.758,
2005-11,0.776,
2005-12,0.729,
2006-01,0.743,
2006-02,0.728,
2006-03,0.798,
2006-04,0.761,
2006-05,0.740,
2006-06,0.781,
2006-07,0.758,
2006-08,0.837,
2006-09,0.871,
2006-10,0.937,
2006-11,1.007,
2006-12,0.949,
2007-01,0.973,
2007-02,0.963,
2007-03,0.995,
2007-04,1.001,
2007-05,1.018,
2007-06,1.135,
2007-07,1.139,
2007-08,1.154,
2007-09,1.049,
2007-10,1.064,
2007-11,1.162,
2007-12,1.070,
2008-01,1.093,
2008-02,1.097,
2008-03,1.096,
2008-04,1.163,
2008-05,1.272,
2008-06,1.313,
2008-07,1.322,
2008-08,1.379,
2008-09,1.412,
2008-10,1.392,
2008-11,1.363,
2008-12,1.204,
2009-01,1.137,
2009-02,1.145,
2009-03,1.139,
2009-04,1.134,
2009-05,1.132,
2009-06,1.194,
2009-07,1.246,
2009-08,1.297,
2009-09,1.363,
2009-10,1.371,
2009-11,1.428,
2009-12,1.368,
2010-01,1.425,
2010-02,1.519,
2010-03,1.587,
2010-04,1.652,
2010-05,1.776,
2010-06,1.817,
2010-07,1.998,
2010-08,1.862,
2010-09,1.990,
2010-10,1.951,
2010-11,1.876,
2010-12,2.096,
2011-01,2.161,
2011-02,2.300,
2011-03,2.340,
2011-04,2.261,
2011-05,2.314,
2011-06,2.579,
2011-07,2.409,
2011-08,2.445,
2011-09,2.485,
2011-10,2.464,
2011-11,2.411,
2011-12,1.439,
2012-01,1.284,
2012-02,1.346,
2012-03,1.489,
2012-04,1.406,
2012-05,1.399,
2012-06,1.554,
2012-07,1.542,
2012-08,1.462,
2012-09,1.429,
2012-10,1.428,
2012-11,1.412,
2012-12,1.246,
2013-01,1.463,
2013-02,1.554,
2013-03,1.687,
2013-04,1.631,
2013-05,1.665,
2013-06,1.600,
2013-07,1.720,
2013-08,1.852,
2013-09,2.023,
2013-10,2.031,
2013-11,1.893,
2013-12,1.560,
2014-01,1.576,
2014-02,1.600,
2014-03,1.664,
2014-04,1.927,
2014-05,1.793,
2014-06,1.751,
2014-07,1.800,
2014-08,1.820,
2014-09,1.578,
2014-10,1.723,
2014-11,1.685,
2014-12,1.578,
