"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.U9.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.U9.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / All areas other than EU and ref./home area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:47,
2009-09,3309,
2009-10,3110,
2009-11,3082,
2009-12,3220,
2010-01,3293,
2010-02,3372,
2010-03,3449,
2010-04,3483,
2010-05,3703,
2010-06,3736,
2010-07,3521,
2010-08,3601,
2010-09,3487,
2010-10,3458,
2010-11,3472,
2010-12,3477,
2011-01,3389,
2011-02,3370,
2011-03,3261,
2011-04,3120,
2011-05,3180,
2011-06,3133,
2011-07,3228,
2011-08,3173,
2011-09,3257,
2011-10,3236,
2011-11,3323,
2011-12,3424,
2012-01,3411,
2012-02,3370,
2012-03,3350,
2012-04,3160,
2012-05,3284,
2012-06,3590,
2012-07,3689,
2012-08,3630,
2012-09,3575,
2012-10,3535,
2012-11,3529,
2012-12,3512,
2013-01,3358,
2013-02,3432,
2013-03,3498,
2013-04,3378,
2013-05,3178,
2013-06,3166,
2013-07,3286,
2013-08,3352,
2013-09,3158,
2013-10,3118,
2013-11,3202,
2013-12,3218,
2014-01,3127,
2014-02,3096,
2014-03,3101,
2014-04,3125,
2014-05,3170,
2014-06,3314,
2014-07,3363,
2014-08,3410,
2014-09,3591,
2014-10,3340,
2014-11,3287,
