"",BBK01.PQD355,BBK01.PQD355_FLAGS
"",Lending to domestic enterprises / Short-term / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:22,
1968-10,6.804,
1969-01,6.775,
1969-04,6.952,
1969-07,7.220,
1969-10,8.403,
1970-01,8.233,
1970-04,8.767,
1970-07,8.917,
1970-10,9.586,
1971-01,9.535,
1971-04,9.854,
1971-07,10.402,
1971-10,10.964,
1972-01,11.212,
1972-04,11.845,
1972-07,12.100,
1972-10,12.771,
1973-01,11.988,
1973-04,12.196,
1973-07,12.242,
1973-10,12.818,
1974-01,12.806,
1974-04,13.247,
1974-07,13.113,
1974-10,13.612,
1975-01,13.192,
1975-04,12.763,
1975-07,12.503,
1975-10,13.181,
1976-01,12.347,
1976-04,12.771,
1976-07,13.243,
1976-10,13.756,
1977-01,13.377,
1977-04,13.365,
1977-07,13.663,
1977-10,14.563,
1978-01,13.378,
1978-04,13.918,
1978-07,14.257,
1978-10,14.656,
1979-01,14.264,
1979-04,15.465,
1979-07,15.306,
1979-10,16.541,
1980-01,15.591,
1980-04,16.230,
1980-07,16.108,
1980-10,17.802,
1981-01,17.933,
1981-04,18.354,
1981-07,18.611,
1981-10,18.933,
1982-01,18.392,
1982-04,19.223,
1982-07,19.478,
1982-10,19.850,
1983-01,18.516,
1983-04,19.215,
1983-07,19.557,
1983-10,19.468,
1984-01,19.091,
1984-04,19.419,
1984-07,19.911,
1984-10,20.891,
1985-01,20.548,
1985-04,21.693,
1985-07,20.585,
1985-10,21.316,
1986-01,21.010,
1986-04,21.072,
1986-07,20.773,
1986-10,23.656,
1987-01,23.347,
1987-04,22.477,
1987-07,22.098,
1987-10,22.495,
1988-01,22.684,
1988-04,23.404,
1988-07,23.031,
1988-10,24.671,
1989-01,24.589,
1989-04,26.142,
1989-07,26.752,
1989-10,27.444,
1990-01,29.486,
1990-04,64.163,
1990-07,71.171,
1990-10,71.917,
1991-01,70.253,
1991-04,71.638,
1991-07,67.403,
1991-10,65.275,
1992-01,63.542,
1992-04,63.983,
1992-07,63.450,
1992-10,54.587,
1993-01,43.249,
1993-04,43.393,
1993-07,42.005,
1993-10,41.547,
1994-01,41.486,
1994-04,41.285,
1994-07,41.255,
1994-10,42.817,
1995-01,42.979,
1995-04,43.328,
1995-07,43.489,
1995-10,43.184,
1996-01,46.247,
1996-04,47.323,
1996-07,46.304,
1996-10,46.486,
1997-01,46.594,
1997-04,45.830,
1997-07,46.012,
1997-10,46.435,
1998-01,44.007,
1998-04,44.686,
1998-07,44.594,
1998-10,44.563,
1999-01,37.712,
1999-04,37.948,
1999-07,37.481,
1999-10,38.111,
2000-01,38.965,
2000-04,40.269,
2000-07,39.346,
2000-10,41.459,
2001-01,41.744,
2001-04,42.362,
2001-07,41.307,
2001-10,43.413,
2002-01,43.088,
2002-04,42.017,
2002-07,41.038,
2002-10,41.483,
2003-01,41.214,
2003-04,41.768,
2003-07,39.731,
2003-10,37.280,
2004-01,36.353,
2004-04,36.591,
2004-07,36.539,
2004-10,32.085,
2005-01,32.997,
2005-04,32.130,
2005-07,29.934,
2005-10,27.435,
2006-01,29.561,
2006-04,29.538,
2006-07,27.228,
2006-10,26.590,
2007-01,28.612,
2007-04,32.465,
2007-07,29.067,
2007-10,29.760,
2008-01,34.799,
2008-04,33.985,
2008-07,37.862,
2008-10,46.818,
2009-01,58.315,
2009-04,51.249,
2009-07,41.723,
2009-10,36.827,
2010-01,28.752,
2010-04,33.451,
2010-07,27.672,
2010-10,25.638,
2011-01,32.707,
2011-04,30.740,
2011-07,37.217,
2011-10,30.950,
2012-01,30.611,
2012-04,29.360,
2012-07,28.137,
2012-10,29.492,
2013-01,32.651,
2013-04,33.378,
2013-07,26.800,
2013-10,25.703,
2014-01,27.010,
2014-04,27.586,
2014-07,28.346,
2014-10,27.749,
