"",BBK01.OEBJ04G,BBK01.OEBJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:22,
2002-01,3.438,
2002-04,3.620,
2002-07,3.560,
2002-10,3.274,
2003-01,3.551,
2003-04,3.876,
2003-07,2.895,
2003-10,2.813,
2004-01,2.353,
2004-04,2.689,
2004-07,2.310,
2004-10,2.928,
2005-01,2.442,
2005-04,2.612,
2005-07,2.245,
2005-10,2.558,
2006-01,1.957,
2006-04,2.027,
2006-07,1.909,
2006-10,2.503,
2007-01,2.509,
2007-04,2.524,
2007-07,3.283,
2007-10,3.235,
2008-01,3.191,
2008-04,3.499,
2008-07,3.760,
2008-10,3.586,
2009-01,3.524,
2009-04,3.132,
2009-07,3.069,
2009-10,2.526,
2010-01,2.965,
2010-04,2.744,
2010-07,2.595,
2010-10,2.693,
2011-01,2.949,
2011-04,2.770,
2011-07,3.109,
2011-10,3.659,
2012-01,3.538,
2012-04,3.605,
2012-07,3.742,
2012-10,2.973,
2013-01,3.010,
2013-04,3.092,
2013-07,3.445,
2013-10,3.239,
2014-01,3.888,
2014-04,4.054,
2014-07,4.306,
