"",BBK01.TUD402,BBK01.TUD402_FLAGS
"",Cash in hand / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:48,
1979-12,3519,
1980-01,3708,
1980-02,3349,
1980-03,3772,
1980-04,3657,
1980-05,3708,
1980-06,3952,
1980-07,3956,
1980-08,3709,
1980-09,3921,
1980-10,3709,
1980-11,3865,
1980-12,3936,
1981-01,3780,
1981-02,3733,
1981-03,4133,
1981-04,3943,
1981-05,4073,
1981-06,4425,
1981-07,4001,
1981-08,4190,
1981-09,4170,
1981-10,4006,
1981-11,4204,
1981-12,4006,
1982-01,4081,
1982-02,4063,
1982-03,4344,
1982-04,4029,
1982-05,4220,
1982-06,4568,
1982-07,4240,
1982-08,4524,
1982-09,4448,
1982-10,4314,
1982-11,4486,
1982-12,4333,
1983-01,4427,
1983-02,4434,
1983-03,4470,
1983-04,4295,
1983-05,4767,
1983-06,4832,
1983-07,4545,
1983-08,4736,
1983-09,4213,
1983-10,4644,
1983-11,4711,
1983-12,4485,
1984-01,4757,
1984-02,4650,
1984-03,4465,
1984-04,4679,
1984-05,4885,
1984-06,4811,
1984-07,5191,
1984-08,4594,
1984-09,4684,
1984-10,5002,
1984-11,4594,
1984-12,5312,
1985-01,5054,
1985-02,4995,
1985-03,4969,
1985-04,5163,
1985-05,4951,
1985-06,5141,
1985-07,5431,
1985-08,4959,
1985-09,5223,
1985-10,5135,
1985-11,4976,
1985-12,5857,
1986-01,5182,
1986-02,5081,
1986-03,5719,
1986-04,5541,
1986-05,5509,
1986-06,5961,
1986-07,5845,
1986-08,5520,
1986-09,5824,
1986-10,5545,
1986-11,5487,
1986-12,6252,
1987-01,5576,
1987-02,5545,
1987-03,6020,
1987-04,5687,
1987-05,5964,
1987-06,6455,
1987-07,5831,
1987-08,6208,
1987-09,6133,
1987-10,5947,
1987-11,6246,
1987-12,6391,
1988-01,5966,
1988-02,6312,
1988-03,6273,
1988-04,6008,
1988-05,6592,
1988-06,6574,
1988-07,6410,
1988-08,6652,
1988-09,6070,
1988-10,6705,
1988-11,6723,
1988-12,6647,
1989-01,6793,
1989-02,6783,
1989-03,6527,
1989-04,6573,
1989-05,7341,
1989-06,6730,
1989-07,7361,
1989-08,7149,
1989-09,6839,
1989-10,7474,
1989-11,7195,
1989-12,7688,
1990-01,7523,
1990-02,7594,
1990-03,7225,
1990-04,7574,
1990-05,7710,
1990-06,8040,
1990-07,11152,
1990-08,9584,
1990-09,9473,
1990-10,10357,
1990-11,9426,
1990-12,11303,
1991-01,9832,
1991-02,9635,
1991-03,10135,
1991-04,10042,
1991-05,9755,
1991-06,9909,
1991-07,10546,
1991-08,9965,
1991-09,10475,
1991-10,10426,
1991-11,10074,
1991-12,12243,
1992-01,10989,
1992-02,10878,
1992-03,11630,
1992-04,11167,
1992-05,11814,
1992-06,12140,
1992-07,11451,
1992-08,12082,
1992-09,12070,
1992-10,12059,
1992-11,12552,
1992-12,14219,
1993-01,12480,
1993-02,12196,
1993-03,12276,
1993-04,12008,
1993-05,12587,
1993-06,13030,
1993-07,12605,
1993-08,13069,
1993-09,12910,
1993-10,12919,
1993-11,13163,
1993-12,14229,
1994-01,13224,
1994-02,13000,
1994-03,12612,
1994-04,12205,
1994-05,12900,
1994-06,12351,
1994-07,12270,
1994-08,12398,
1994-09,11774,
1994-10,12494,
1994-11,12293,
1994-12,13390,
1995-01,12380,
1995-02,12499,
1995-03,11812,
1995-04,12142,
1995-05,12703,
1995-06,12277,
1995-07,12554,
1995-08,12194,
1995-09,11861,
1995-10,12487,
1995-11,12057,
1995-12,13945,
1996-01,12206,
1996-02,12047,
1996-03,12080,
1996-04,12364,
1996-05,12189,
1996-06,12307,
1996-07,12465,
1996-08,12089,
1996-09,12339,
1996-10,12554,
1996-11,12038,
1996-12,15471,
1997-01,12200,
1997-02,11962,
1997-03,13378,
1997-04,12645,
1997-05,12692,
1997-06,12844,
1997-07,12878,
1997-08,12805,
1997-09,12808,
1997-10,12703,
1997-11,12527,
1997-12,15713,
1998-01,12756,
1998-02,13028,
1998-03,13344,
1998-04,13292,
1998-05,13662,
1998-06,13575,
1998-07,13064,
1998-08,13365,
1998-09,13672,
1998-10,13214,
1998-11,12880,
1998-12,15285,
1999-01,13282,
1999-02,12937,
1999-03,12765,
1999-04,12669,
1999-05,13432,
1999-06,13462,
1999-07,13090,
1999-08,13229,
1999-09,13342,
1999-10,13482,
1999-11,13209,
1999-12,17228,
2000-01,13521,
2000-02,13497,
2000-03,13135,
2000-04,14198,
2000-05,13920,
2000-06,13333,
2000-07,13377,
2000-08,13533,
2000-09,13634,
2000-10,13979,
2000-11,13396,
2000-12,16060,
2001-01,13432,
2001-02,13576,
2001-03,13084,
2001-04,13730,
2001-05,13854,
2001-06,13787,
2001-07,13759,
2001-08,13454,
2001-09,13716,
2001-10,14153,
2001-11,13690,
2001-12,14647,
2002-01,27664,
2002-02,19482,
2002-03,16935,
2002-04,14915,
2002-05,14745,
2002-06,14299,
2002-07,13769,
2002-08,13561,
2002-09,13339,
2002-10,14196,
2002-11,13226,
2002-12,17884,
2003-01,13182,
2003-02,13229,
2003-03,12860,
2003-04,13806,
2003-05,13994,
2003-06,13331,
2003-07,13258,
2003-08,13518,
2003-09,13328,
2003-10,13623,
2003-11,13113,
2003-12,17279,
2004-01,13184,
2004-02,13198,
2004-03,12709,
2004-04,12850,
2004-05,13835,
2004-06,13143,
2004-07,13242,
2004-08,13182,
2004-09,13191,
2004-10,13850,
2004-11,13258,
2004-12,15140,
2005-01,13172,
2005-02,12788,
2005-03,13601,
2005-04,13097,
2005-05,13767,
2005-06,13569,
2005-07,13988,
2005-08,13476,
2005-09,13951,
2005-10,14098,
2005-11,13330,
2005-12,15320,
2006-01,13261,
2006-02,14082,
2006-03,13297,
2006-04,14519,
2006-05,14040,
2006-06,13801,
2006-07,13679,
2006-08,13633,
2006-09,14207,
2006-10,14390,
2006-11,13623,
2006-12,16400,
2007-01,13342,
2007-02,13388,
2007-03,13493,
2007-04,14379,
2007-05,14702,
2007-06,14202,
2007-07,13885,
2007-08,14069,
2007-09,14367,
2007-10,14516,
2007-11,14136,
2007-12,17833,
2008-01,14138,
2008-02,13594,
2008-03,14219,
2008-04,13897,
2008-05,14135,
2008-06,13771,
2008-07,14184,
2008-08,14189,
2008-09,13739,
2008-10,15447,
2008-11,15063,
2008-12,17764,
2009-01,13992,
2009-02,13858,
2009-03,13948,
2009-04,15329,
2009-05,15825,
2009-06,15048,
2009-07,13952,
2009-08,13960,
2009-09,13908,
2009-10,14197,
2009-11,13807,
2009-12,17225,
2010-01,14348,
2010-02,14185,
2010-03,14443,
2010-04,13976,
2010-05,14742,
2010-06,14162,
2010-07,14704,
2010-08,14460,
2010-09,14856,
2010-10,15234,
2010-11,14782,
2010-12,16515,
2011-01,14145,
2011-02,14458,
2011-03,14455,
2011-04,15591,
2011-05,15486,
2011-06,15236,
2011-07,15242,
