"",BBDE1.Q.DE.Y.LCA1.N2C000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.N2C000000.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Section C - Manufacturing / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:08,
1996-01,75.247,
1996-04,75.371,
1996-07,76.898,
1996-10,78.530,
1997-01,79.259,
1997-04,76.088,
1997-07,77.668,
1997-10,78.790,
1998-01,78.342,
1998-04,78.856,
1998-07,79.377,
1998-10,80.201,
1999-01,80.636,
1999-04,81.197,
1999-07,81.440,
1999-10,81.226,
2000-01,83.177,
2000-04,85.167,
2000-07,85.620,
2000-10,86.586,
2001-01,86.765,
2001-04,87.530,
2001-07,88.040,
2001-10,88.676,
2002-01,89.955,
2002-04,88.746,
2002-07,90.312,
2002-10,90.667,
2003-01,91.862,
2003-04,91.799,
2003-07,92.373,
2003-10,91.912,
2004-01,93.211,
2004-04,93.052,
2004-07,92.485,
2004-10,92.518,
2005-01,94.856,
2005-04,91.846,
2005-07,93.342,
2005-10,94.425,
2006-01,95.723,
2006-04,96.606,
2006-07,98.007,
2006-10,97.496,
2007-01,95.811,
2007-04,97.674,
2007-07,97.771,
2007-10,98.863,
2008-01,99.722,
2008-04,96.415,
2008-07,98.954,
2008-10,104.909,
2009-01,102.316,
2009-04,101.848,
2009-07,101.776,
2009-10,100.723,
2010-01,102.831,
2010-04,101.177,
2010-07,101.582,
2010-10,102.082,
2011-01,104.889,
2011-04,106.021,
2011-07,105.373,
2011-10,106.552,
2012-01,105.058,
2012-04,109.289,
2012-07,108.534,
2012-10,109.574,
2013-01,111.990,
2013-04,111.161,
2013-07,110.925,
2013-10,112.939,
2014-01,113.135,
2014-04,115.277,
2014-07,113.511,
