"",BBK01.OEBJ02G,BBK01.OEBJ02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:09,
2002-01,7.672,
2002-04,7.796,
2002-07,8.328,
2002-10,10.683,
2003-01,8.876,
2003-04,7.917,
2003-07,8.735,
2003-10,11.226,
2004-01,10.070,
2004-04,9.271,
2004-07,10.488,
2004-10,11.720,
2005-01,8.396,
2005-04,8.598,
2005-07,6.811,
2005-10,7.247,
2006-01,7.124,
2006-04,7.033,
2006-07,7.846,
2006-10,8.600,
2007-01,8.270,
2007-04,8.136,
2007-07,8.081,
2007-10,10.723,
2008-01,8.139,
2008-04,8.057,
2008-07,8.326,
2008-10,9.787,
2009-01,8.652,
2009-04,9.239,
2009-07,9.769,
2009-10,11.634,
2010-01,10.421,
2010-04,10.312,
2010-07,10.875,
2010-10,12.889,
2011-01,10.718,
2011-04,11.171,
2011-07,11.087,
2011-10,13.305,
2012-01,12.764,
2012-04,12.344,
2012-07,13.538,
2012-10,15.428,
2013-01,13.423,
2013-04,13.055,
2013-07,13.835,
2013-10,15.703,
2014-01,13.956,
2014-04,14.563,
2014-07,15.231,
