"",BBK01.OEAD08G,BBK01.OEAD08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:29,
2002-01,6.129,
2002-04,6.244,
2002-07,6.364,
2002-10,5.893,
2003-01,5.752,
2003-04,5.893,
2003-07,5.993,
2003-10,5.862,
2004-01,5.767,
2004-04,5.436,
2004-07,5.314,
2004-10,5.020,
2005-01,5.071,
2005-04,4.952,
2005-07,4.947,
2005-10,4.647,
2006-01,4.716,
2006-04,4.815,
2006-07,4.950,
2006-10,4.710,
2007-01,4.899,
2007-04,5.071,
2007-07,5.007,
2007-10,5.005,
2008-01,5.696,
2008-04,5.654,
2008-07,5.374,
2008-10,4.629,
2009-01,4.827,
2009-04,4.823,
2009-07,4.730,
2009-10,4.525,
2010-01,4.401,
2010-04,4.387,
2010-07,4.347,
2010-10,4.179,
2011-01,4.299,
2011-04,4.245,
2011-07,4.164,
2011-10,4.071,
2012-01,4.119,
2012-04,4.055,
2012-07,4.015,
2012-10,4.058,
2013-01,4.086,
2013-04,4.115,
2013-07,4.071,
2013-10,3.850,
2014-01,3.878,
2014-04,3.901,
2014-07,3.861,
