"",BBK01.OEAK06H,BBK01.OEAK06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:36,
2002-01,0.904,
2002-04,0.929,
2002-07,0.940,
2002-10,0.924,
2003-01,0.892,
2003-04,0.860,
2003-07,0.837,
2003-10,0.833,
2004-01,0.827,
2004-04,0.809,
2004-07,0.805,
2004-10,0.809,
2005-01,0.795,
2005-04,0.781,
2005-07,0.755,
2005-10,0.729,
2006-01,0.763,
2006-04,0.834,
2006-07,0.905,
2006-10,1.000,
2007-01,1.093,
2007-04,1.158,
2007-07,1.249,
2007-10,1.373,
2008-01,1.464,
2008-04,1.540,
2008-07,1.630,
2008-10,1.730,
2009-01,1.527,
2009-04,1.275,
2009-07,1.092,
2009-10,1.041,
2010-01,0.999,
2010-04,0.950,
2010-07,0.922,
2010-10,0.913,
2011-01,0.947,
2011-04,1.007,
2011-07,1.027,
2011-10,1.038,
2012-01,0.985,
2012-04,0.913,
2012-07,0.840,
2012-10,0.753,
2013-01,0.652,
2013-04,0.588,
2013-07,0.553,
2013-10,0.519,
2014-01,0.495,
2014-04,0.440,
2014-07,0.455,
