"",BBK01.OEHB05Q,BBK01.OEHB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:46,
2002-01,26.345,
2002-04,26.410,
2002-07,26.332,
2002-10,26.715,
2003-01,26.721,
2003-04,26.808,
2003-07,27.100,
2003-10,26.912,
2004-01,26.776,
2004-04,26.791,
2004-07,26.674,
2004-10,26.553,
2005-01,26.613,
2005-04,26.836,
2005-07,26.853,
2005-10,26.593,
2006-01,26.613,
2006-04,26.707,
2006-07,26.600,
2006-10,26.408,
2007-01,26.289,
2007-04,26.209,
2007-07,26.075,
2007-10,26.192,
2008-01,26.308,
2008-04,26.375,
2008-07,26.501,
2008-10,26.426,
2009-01,26.402,
2009-04,26.749,
2009-07,26.973,
2009-10,26.886,
2010-01,26.984,
2010-04,27.371,
2010-07,27.675,
2010-10,27.587,
2011-01,27.643,
2011-04,27.713,
2011-07,27.591,
2011-10,27.548,
2012-01,27.654,
2012-04,27.720,
2012-07,27.822,
2012-10,27.923,
2013-01,28.037,
2013-04,28.022,
2013-07,28.162,
2013-10,28.064,
2014-01,28.193,
2014-04,28.420,
2014-07,28.649,
