"",BBK01.OELI06H,BBK01.OELI06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:57,
2002-01,6.201,
2002-04,6.303,
2002-07,6.354,
2002-10,6.316,
2003-01,6.195,
2003-04,6.041,
2003-07,5.907,
2003-10,5.862,
2004-01,5.840,
2004-04,5.749,
2004-07,5.681,
2004-10,5.624,
2005-01,5.414,
2005-04,5.305,
2005-07,5.138,
2005-10,5.199,
2006-01,5.291,
2006-04,5.520,
2006-07,5.677,
2006-10,5.845,
2007-01,6.121,
2007-04,6.308,
2007-07,6.607,
2007-10,6.950,
2008-01,7.108,
2008-04,7.225,
2008-07,7.638,
2008-10,7.973,
2009-01,7.447,
2009-04,6.700,
2009-07,6.023,
2009-10,5.647,
2010-01,5.253,
2010-04,5.137,
2010-07,4.946,
2010-10,4.855,
2011-01,5.001,
2011-04,5.198,
2011-07,5.254,
2011-10,5.314,
2012-01,5.205,
2012-04,5.021,
2012-07,4.598,
2012-10,4.289,
2013-01,3.920,
2013-04,3.625,
2013-07,3.394,
2013-10,3.302,
2014-01,3.127,
2014-04,2.946,
2014-07,2.815,
