"",BBK01.OEHL06M,BBK01.OEHL06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:03,
2002-01,2.743,
2002-04,2.758,
2002-07,2.743,
2002-10,2.740,
2003-01,2.687,
2003-04,2.657,
2003-07,2.609,
2003-10,2.585,
2004-01,2.549,
2004-04,2.542,
2004-07,2.509,
2004-10,2.517,
2005-01,2.444,
2005-04,2.416,
2005-07,2.391,
2005-10,2.425,
2006-01,2.514,
2006-04,2.659,
2006-07,2.868,
2006-10,3.231,
2007-01,3.636,
2007-04,3.886,
2007-07,4.162,
2007-10,4.407,
2008-01,4.586,
2008-04,4.740,
2008-07,4.900,
2008-10,5.185,
2009-01,4.817,
2009-04,4.320,
2009-07,3.973,
2009-10,3.665,
2010-01,3.661,
2010-04,3.604,
2010-07,3.512,
2010-10,3.504,
2011-01,3.522,
2011-04,3.614,
2011-07,3.696,
2011-10,3.683,
2012-01,3.571,
2012-04,3.569,
2012-07,3.399,
2012-10,3.158,
2013-01,2.807,
2013-04,2.576,
2013-07,2.416,
2013-10,2.240,
2014-01,2.117,
2014-04,2.041,
2014-07,1.940,
