"",BBK01.OEXJ02P,BBK01.OEXJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:32,
2002-01,0.134,
2002-04,0.156,
2002-07,0.144,
2002-10,0.202,
2003-01,0.177,
2003-04,0.134,
2003-07,0.060,
2003-10,0.091,
2004-01,0.036,
2004-04,0.037,
2004-07,0.105,
2004-10,0.164,
2005-01,0.076,
2005-04,0.081,
2005-07,0.092,
2005-10,0.042,
2006-01,0.048,
2006-04,0.051,
2006-07,0.038,
2006-10,0.103,
2007-01,0.044,
2007-04,0.037,
2007-07,0.039,
2007-10,0.108,
2008-01,0.038,
2008-04,0.036,
2008-07,0.052,
2008-10,0.117,
2009-01,0.041,
2009-04,0.037,
2009-07,0.045,
2009-10,0.052,
2010-01,0.072,
2010-04,0.341,
2010-07,0.240,
2010-10,0.324,
2011-01,0.287,
2011-04,0.316,
2011-07,0.273,
2011-10,0.292,
2012-01,0.334,
2012-04,0.256,
2012-07,0.211,
2012-10,0.320,
2013-01,0.250,
2013-04,0.203,
2013-07,0.226,
2013-10,0.252,
2014-01,0.249,
2014-04,0.247,
2014-07,0.224,
