"",BBK01.WXI052,BBK01.WXI052_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:15,
2009-09,20,
2009-10,19,
2009-11,15,
2009-12,16,
2010-01,12,
2010-02,11,
2010-03,16,
2010-04,13,
2010-05,11,
2010-06,9,
2010-07,31,
2010-08,32,
2010-09,39,
2010-10,32,
2010-11,34,
2010-12,37,
2011-01,35,
2011-02,34,
2011-03,34,
2011-04,33,
2011-05,33,
2011-06,34,
2011-07,34,
2011-08,45,
2011-09,47,
2011-10,37,
2011-11,36,
2011-12,37,
2012-01,39,
2012-02,41,
2012-03,18,
2012-04,130,
2012-05,20,
2012-06,26,
2012-07,30,
2012-08,48,
2012-09,25,
2012-10,20,
2012-11,18,
2012-12,16,
2013-01,22,
2013-02,18,
2013-03,29,
2013-04,20,
2013-05,26,
2013-06,23,
2013-07,32,
2013-08,37,
2013-09,33,
2013-10,28,
2013-11,27,
2013-12,33,
2014-01,38,
2014-02,33,
2014-03,32,
2014-04,32,
2014-05,33,
2014-06,32,
2014-07,34,
2014-08,36,
2014-09,21,
2014-10,25,
2014-11,17,
