"",BBK01.OECL01S,BBK01.OECL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:23,
2002-01,0.956,
2002-04,0.929,
2002-07,0.920,
2002-10,0.910,
2003-01,0.869,
2003-04,0.838,
2003-07,0.856,
2003-10,0.850,
2004-01,0.804,
2004-04,0.796,
2004-07,0.806,
2004-10,0.828,
2005-01,2.230,
2005-04,2.239,
2005-07,2.245,
2005-10,2.275,
2006-01,2.280,
2006-04,2.259,
2006-07,2.182,
2006-10,2.209,
2007-01,2.284,
2007-04,2.318,
2007-07,2.347,
2007-10,2.448,
2008-01,2.497,
2008-04,2.543,
2008-07,2.657,
2008-10,2.813,
2009-01,2.845,
2009-04,2.871,
2009-07,2.837,
2009-10,2.843,
2010-01,2.831,
2010-04,2.821,
2010-07,2.822,
2010-10,2.869,
2011-01,2.831,
2011-04,2.817,
2011-07,2.833,
2011-10,2.908,
2012-01,3.016,
2012-04,3.030,
2012-07,3.079,
2012-10,3.120,
2013-01,3.123,
2013-04,3.135,
2013-07,3.094,
2013-10,3.136,
2014-01,3.145,
2014-04,3.169,
2014-07,3.227,
