"",BBK01.XS8884,BBK01.XS8884_FLAGS
"",Exports / Product Classification for Production Statistics from 2002 / Consumer goods / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:09,
2000-01,6.80,
2000-02,7.02,
2000-03,7.50,
2000-04,7.03,
2000-05,7.49,
2000-06,7.61,
2000-07,7.54,
2000-08,7.52,
2000-09,7.69,
2000-10,8.09,
2000-11,7.90,
2000-12,7.87,
2001-01,7.76,
2001-02,8.48,
2001-03,7.99,
2001-04,8.09,
2001-05,8.89,
2001-06,8.32,
2001-07,8.51,
2001-08,8.92,
2001-09,8.34,
2001-10,8.34,
2001-11,8.27,
2001-12,8.83,
2002-01,8.19,
2002-02,8.40,
2002-03,8.49,
2002-04,8.77,
2002-05,8.11,
2002-06,8.63,
2002-07,8.82,
2002-08,8.48,
2002-09,8.76,
2002-10,8.92,
2002-11,8.91,
2002-12,8.85,
2003-01,9.01,
2003-02,8.96,
2003-03,9.07,
2003-04,8.93,
2003-05,8.64,
2003-06,9.07,
2003-07,8.73,
2003-08,9.70,
2003-09,10.23,
2003-10,8.77,
2003-11,9.47,
2003-12,9.20,
2004-01,9.76,
2004-02,9.53,
2004-03,9.86,
2004-04,9.90,
2004-05,10.13,
2004-06,9.89,
2004-07,9.75,
2004-08,9.57,
2004-09,9.80,
2004-10,9.68,
2004-11,10.56,
2004-12,9.80,
2005-01,10.37,
2005-02,10.20,
2005-03,10.19,
2005-04,10.17,
2005-05,11.07,
2005-06,10.50,
2005-07,10.19,
2005-08,10.85,
2005-09,10.93,
2005-10,10.67,
2005-11,10.75,
2005-12,11.16,
2006-01,11.26,
2006-02,11.63,
2006-03,11.68,
2006-04,11.40,
2006-05,11.44,
2006-06,11.80,
2006-07,11.91,
2006-08,11.68,
2006-09,12.63,
2006-10,12.84,
2006-11,12.49,
2006-12,12.74,
2007-01,12.38,
2007-02,12.68,
2007-03,12.57,
2007-04,13.45,
2007-05,12.82,
2007-06,12.89,
2007-07,13.30,
2007-08,13.84,
2007-09,13.61,
2007-10,13.85,
2007-11,14.13,
2007-12,13.52,
2008-01,14.10,
2008-02,13.71,
2008-03,13.56,
2008-04,13.57,
2008-05,13.02,
2008-06,14.48,
2008-07,14.36,
2008-08,14.40,
2008-09,14.01,
2008-10,14.06,
2008-11,13.10,
2008-12,13.17,
