"",BBK01.OEXI01H,BBK01.OEXI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:28,
2002-01,31.283,
2002-04,30.642,
2002-07,31.699,
2002-10,32.707,
2003-01,32.984,
2003-04,32.961,
2003-07,30.597,
2003-10,31.137,
2004-01,30.748,
2004-04,24.581,
2004-07,24.565,
2004-10,25.193,
2005-01,26.797,
2005-04,29.097,
2005-07,31.528,
2005-10,32.547,
2006-01,34.063,
2006-04,37.586,
2006-07,37.169,
2006-10,38.766,
2007-01,40.315,
2007-04,41.317,
2007-07,44.434,
2007-10,44.928,
2008-01,46.383,
2008-04,45.640,
2008-07,47.433,
2008-10,48.987,
2009-01,49.805,
2009-04,49.388,
2009-07,52.091,
2009-10,50.409,
2010-01,49.658,
2010-04,51.727,
2010-07,52.009,
2010-10,51.343,
2011-01,53.726,
2011-04,56.063,
2011-07,70.060,
2011-10,67.540,
2012-01,68.496,
2012-04,70.440,
2012-07,75.276,
2012-10,73.996,
2013-01,75.946,
2013-04,76.937,
2013-07,78.537,
2013-10,78.835,
2014-01,81.248,
2014-04,82.543,
2014-07,85.852,
