"",BBK01.OEHK06O,BBK01.OEHK06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:59,
2002-01,0.143,
2002-04,0.145,
2002-07,0.147,
2002-10,0.152,
2003-01,0.144,
2003-04,0.137,
2003-07,0.136,
2003-10,0.149,
2004-01,0.146,
2004-04,0.148,
2004-07,0.148,
2004-10,0.161,
2005-01,0.162,
2005-04,0.161,
2005-07,0.160,
2005-10,0.161,
2006-01,0.171,
2006-04,0.181,
2006-07,0.195,
2006-10,0.210,
2007-01,0.240,
2007-04,0.277,
2007-07,0.304,
2007-10,0.341,
2008-01,0.349,
2008-04,0.363,
2008-07,0.397,
2008-10,0.433,
2009-01,0.377,
2009-04,0.303,
2009-07,0.252,
2009-10,0.217,
2010-01,0.203,
2010-04,0.192,
2010-07,0.183,
2010-10,0.185,
2011-01,0.190,
2011-04,0.207,
2011-07,0.213,
2011-10,0.230,
2012-01,0.223,
2012-04,0.219,
2012-07,0.214,
2012-10,0.210,
2013-01,0.195,
2013-04,0.183,
2013-07,0.167,
2013-10,0.163,
2014-01,0.159,
2014-04,0.159,
2014-07,0.156,
