"",BBK01.OEAH15I,BBK01.OEAH15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:25,
2002-01,81.314,
2002-04,80.005,
2002-07,80.176,
2002-10,81.319,
2003-01,81.377,
2003-04,80.897,
2003-07,78.070,
2003-10,80.053,
2004-01,80.678,
2004-04,80.792,
2004-07,82.170,
2004-10,84.167,
2005-01,91.556,
2005-04,89.333,
2005-07,90.207,
2005-10,93.781,
2006-01,94.402,
2006-04,97.121,
2006-07,97.796,
2006-10,99.774,
2007-01,99.610,
2007-04,102.825,
2007-07,107.309,
2007-10,109.412,
2008-01,109.319,
2008-04,115.374,
2008-07,115.468,
2008-10,122.986,
2009-01,131.764,
2009-04,133.901,
2009-07,135.069,
2009-10,133.446,
2010-01,141.763,
2010-04,137.476,
2010-07,142.953,
2010-10,144.711,
2011-01,149.568,
2011-04,154.515,
2011-07,160.211,
2011-10,158.922,
2012-01,165.703,
2012-04,169.868,
2012-07,171.598,
2012-10,172.007,
2013-01,180.375,
2013-04,182.704,
2013-07,171.304,
2013-10,171.220,
2014-01,171.891,
2014-04,175.132,
2014-07,175.287,
