"",BBK01.OEXO06P,BBK01.OEXO06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:49,
2002-01,0.312,
2002-04,0.304,
2002-07,0.301,
2002-10,0.304,
2003-01,0.307,
2003-04,0.319,
2003-07,0.332,
2003-10,0.330,
2004-01,0.318,
2004-04,0.310,
2004-07,0.295,
2004-10,0.308,
2005-01,0.322,
2005-04,0.327,
2005-07,0.343,
2005-10,0.367,
2006-01,0.364,
2006-04,0.361,
2006-07,0.343,
2006-10,0.345,
2007-01,0.374,
2007-04,0.396,
2007-07,0.423,
2007-10,0.464,
2008-01,0.484,
2008-04,0.477,
2008-07,0.473,
2008-10,0.567,
2009-01,0.557,
2009-04,0.545,
2009-07,0.565,
2009-10,0.536,
2010-01,0.506,
2010-04,0.500,
2010-07,0.500,
2010-10,0.564,
2011-01,0.560,
2011-04,0.543,
2011-07,0.536,
2011-10,0.530,
2012-01,0.507,
2012-04,0.498,
2012-07,0.486,
2012-10,0.461,
2013-01,0.423,
2013-04,0.401,
2013-07,0.393,
2013-10,0.387,
2014-01,0.371,
2014-04,0.361,
2014-07,0.405,
