"",BBK01.OEHM09N,BBK01.OEHM09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:16,
2002-01,0.030,
2002-04,0.026,
2002-07,0.016,
2002-10,0.016,
2003-01,0.013,
2003-04,0.010,
2003-07,0.044,
2003-10,0.042,
2004-01,0.104,
2004-04,0.106,
2004-07,0.107,
2004-10,0.104,
2005-01,0.017,
2005-04,0.017,
2005-07,0.021,
2005-10,0.024,
2006-01,0.019,
2006-04,0.018,
2006-07,0.022,
2006-10,0.021,
2007-01,0.023,
2007-04,0.026,
2007-07,0.025,
2007-10,0.024,
2008-01,0.015,
2008-04,0.016,
2008-07,0.010,
2008-10,0.013,
2009-01,0.020,
2009-04,0.016,
2009-07,0.017,
2009-10,0.020,
2010-01,0.026,
2010-04,0.021,
2010-07,0.020,
2010-10,0.016,
2011-01,0.003,
2011-04,0.005,
2011-07,0.003,
2011-10,0.003,
2012-01,0.005,
2012-04,0.005,
2012-07,0.007,
2012-10,0.015,
2013-01,0.018,
2013-04,0.024,
2013-07,0.028,
2013-10,0.022,
2014-01,0.018,
2014-04,0.016,
2014-07,0.011,
