"",BBEX3.M.SCR.EUR.CA.AB.A01,BBEX3.M.SCR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in the Seychelles / EUR 1 = SCR ... (selling),
unit,SCR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:38,
1999-01,6.2985,
1999-02,5.9298,
1999-03,5.7915,
1999-04,5.7052,
1999-05,5.6838,
1999-06,5.6345,
1999-07,5.7551,
1999-08,5.6501,
1999-09,5.6717,
1999-10,5.6339,
1999-11,5.4933,
1999-12,5.4591,
2000-01,5.3819,
2000-02,5.3753,
2000-03,5.3670,
2000-04,5.1810,
2000-05,5.3573,
2000-06,5.4009,
2000-07,5.3234,
2000-08,5.2065,
2000-09,5.1936,
2000-10,5.0590,
2000-11,5.3564,
2000-12,5.8756,
2001-01,6.0339,
2001-02,5.9820,
2001-03,5.7158,
2001-04,5.3109,
2001-05,4.9002,
2001-06,4.9067,
2001-07,4.9551,
2001-08,5.0630,
2001-09,5.1014,
2001-10,5.1092,
2001-11,5.0917,
2001-12,5.1380,
2002-01,5.0787,
2002-02,5.0768,
2002-03,5.1064,
2002-04,5.1498,
2002-05,5.2207,
2002-06,5.3469,
2002-07,5.3096,
2002-08,5.3223,
2002-09,5.3147,
2002-10,5.3097,
2002-11,5.2930,
2002-12,5.3566,
2003-01,5.4064,
2003-02,5.5366,
2003-03,5.7664,
2003-04,6.0769,
2003-05,6.6103,
2003-06,6.4642,
2003-07,6.3671,
2003-08,6.2096,
2003-09,6.4475,
2003-10,6.5121,
2003-11,6.6368,
2003-12,6.9526,
2004-01,7.0278,
2004-02,6.9298,
2004-03,6.7950,
2004-04,6.6519,
2004-05,6.8033,
2004-06,6.7516,
2004-07,6.7215,
2004-08,6.7098,
2004-09,6.8540,
2004-10,7.1052,
2004-11,7.3986,
2004-12,7.5863,
2005-01,7.2578,
2005-02,7.3480,
2005-03,7.2082,
2005-04,7.1926,
2005-05,6.9988,
2005-06,6.7387,
2005-07,6.7499,
2005-08,6.7961,
2005-09,6.6936,
2005-10,6.7321,
2005-11,6.5633,
2005-12,6.5967,
2006-01,6.7332,
2006-02,6.6045,
2006-03,6.7560,
2006-04,6.9749,
2006-05,7.1659,
2006-06,6.9799,
2006-07,7.0901,
2006-08,7.1419,
2006-09,7.0706,
2006-10,7.1085,
2006-11,7.3985,
2006-12,7.7211,
2007-01,7.8933,
2007-02,8.1722,
2007-03,8.2370,
2007-04,8.4223,
2007-05,8.3302,
2007-06,8.5739,
2007-07,9.0047,
2007-08,9.4384,
2007-09,10.2892,
2007-10,11.6738,
2007-11,11.9501,
2007-12,11.9187,
2008-01,11.9694,comment
2008-02,12.2753,
2008-03,12.7372,
2008-04,12.5952,
2008-05,12.5368,
2008-06,12.6940,
2008-07,12.5600,
2008-08,11.9240,
2008-09,11.9759,
2008-10,11.5479,
2008-11,22.5242,comment
2008-12,24.4394,
2009-01,22.5710,
2009-02,21.8341,
2009-03,22.1568,
2009-04,20.7620,
2009-05,20.3026,
2009-06,19.7735,
2009-07,18.6267,
2009-08,18.3302,
2009-09,15.1921,
2009-10,16.3243,
2009-11,17.2347,
2009-12,16.6971,
2010-01,16.3887,
2010-02,16.1173,
2010-03,16.1964,
2010-04,15.9578,
2010-05,15.7380,
2010-06,15.6563,
2010-07,16.6599,
2010-08,16.1523,
2010-09,16.7250,
2010-10,17.4296,
2010-11,16.5251,
2010-12,16.4001,
2011-01,16.9928,
2011-02,17.1635,
2011-03,17.5276,
2011-04,18.0043,
2011-05,17.6670,
2011-06,17.7700,
2011-07,17.8800,
2011-08,17.9433,
2011-09,17.1848,
2011-10,18.0855,
2011-11,17.9011,
2011-12,18.1019,
2012-01,19.0592,
2012-02,19.2261,
2012-03,19.0304,
2012-04,18.9467,
2012-05,18.1423,
2012-06,18.3816,
2012-07,17.3156,
2012-08,16.4939,
2012-09,16.8523,
2012-10,17.0853,
2012-11,17.0014,
2012-12,17.3345,
2013-01,17.4689,
2013-02,16.0761,
2013-03,15.2880,
2013-04,15.7543,
2013-05,15.7575,
2013-06,15.6433,
2013-07,15.9961,
2013-08,16.1814,
2013-09,16.4159,
2013-10,16.7850,
2013-11,16.5947,
2013-12,16.7499,
2014-01,16.7958,
2014-02,16.9253,
2014-03,16.9852,
2014-04,16.9312,
2014-05,16.8273,
2014-06,16.8757,
2014-07,16.7260,
2014-08,17.2421,
2014-09,17.2644,
2014-10,18.0233,
2014-11,17.8772,
2014-12,17.3828,
2015-01,16.1154,
"","Source: Central Bank of Seychelles, Victoria",
"","Comment on 2008-01: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
