"",BBK01.OELB11I,BBK01.OELB11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:31,
2002-01,0.208,
2002-04,0.237,
2002-07,0.255,
2002-10,0.226,
2003-01,0.241,
2003-04,0.229,
2003-07,0.212,
2003-10,0.182,
2004-01,0.193,
2004-04,0.193,
2004-07,0.214,
2004-10,0.228,
2005-01,0.208,
2005-04,0.215,
2005-07,0.228,
2005-10,0.222,
2006-01,0.228,
2006-04,0.243,
2006-07,0.242,
2006-10,0.225,
2007-01,0.229,
2007-04,0.230,
2007-07,0.228,
2007-10,0.217,
2008-01,0.235,
2008-04,0.243,
2008-07,0.241,
2008-10,0.260,
2009-01,0.269,
2009-04,0.295,
2009-07,0.318,
2009-10,0.314,
2010-01,0.319,
2010-04,0.333,
2010-07,0.338,
2010-10,0.370,
2011-01,0.397,
2011-04,0.426,
2011-07,0.419,
2011-10,0.451,
2012-01,0.447,
2012-04,0.490,
2012-07,0.490,
2012-10,0.508,
2013-01,0.532,
2013-04,0.547,
2013-07,0.563,
2013-10,0.588,
2014-01,0.628,
2014-04,0.677,
2014-07,0.707,
