"",BBEX3.M.GHS.USD.CA.AB.A01,BBEX3.M.GHS.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Ghana / USD 1 = GHS ... (selling),
unit,GHS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:30,
2007-07,0.9345,
2007-08,0.9366,
2007-09,0.9451,
2007-10,0.9530,
2007-11,0.9688,
2007-12,0.9701,
2008-01,0.9804,
2008-02,0.9835,
2008-03,0.9852,
2008-04,0.9937,
2008-05,1.0082,
2008-06,1.0363,
2008-07,1.0842,
2008-08,1.1213,
2008-09,1.1404,
2008-10,1.1628,
2008-11,1.1962,
2008-12,1.2345,
2009-01,1.2896,
2009-02,1.3520,
2009-03,1.3895,
2009-04,1.4180,
2009-05,1.4406,
2009-06,1.4752,
2009-07,1.4899,
2009-08,1.4804,
2009-09,1.4699,
2009-10,1.4668,
2009-11,1.4496,
2009-12,1.4441,
2010-01,1.4376,
2010-02,1.4396,
2010-03,1.4324,
2010-04,1.4292,
2010-05,1.4278,
2010-06,1.4351,
2010-07,1.4463,
2010-08,1.4428,
2010-09,1.4422,
2010-10,1.4400,
2010-11,1.4473,
2010-12,1.4656,
2011-01,1.4963,
2011-02,1.5290,
2011-03,1.5359,
2011-04,1.5281,
2011-05,1.5210,
2011-06,1.5224,
2011-07,1.5229,
2011-08,1.5274,
2011-09,1.5492,
2011-10,1.5739,
2011-11,1.5859,
2011-12,1.6024,
2012-01,1.6822,
2012-02,1.6958,
2012-03,1.7479,
2012-04,1.8148,
2012-05,1.8891,
2012-06,1.9170,
2012-07,1.9411,
2012-08,1.9374,
2012-09,1.9188,
2012-10,1.8949,
2012-11,1.9021,
2012-12,1.9012,
2013-01,1.9016,
2013-02,1.9124,
2013-03,1.9398,
2013-04,1.9686,
2013-05,1.9735,
2013-06,1.9895,
2013-07,1.9937,
2013-08,1.9978,
2013-09,2.0000,
2013-10,2.0268,
2013-11,2.0830,
2013-12,2.1628,
2014-01,2.4000,
2014-02,2.5244,
2014-03,2.6813,
2014-04,2.7952,
2014-05,2.8933,
2014-06,3.0028,
2014-07,3.0350,
2014-08,3.1346,
2014-09,3.1986,
2014-10,3.1968,
2014-11,3.1967,
2014-12,3.2013,
2015-01,3.2417,
2015-02,3.4762,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Ghana, Accra.",
