"",BBK01.OEAD08M,BBK01.OEAD08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:09,
2002-01,2.114,
2002-04,2.076,
2002-07,1.970,
2002-10,1.870,
2003-01,1.848,
2003-04,1.833,
2003-07,1.806,
2003-10,1.715,
2004-01,1.709,
2004-04,1.685,
2004-07,1.666,
2004-10,1.608,
2005-01,1.656,
2005-04,1.626,
2005-07,1.620,
2005-10,1.533,
2006-01,1.562,
2006-04,1.598,
2006-07,1.556,
2006-10,1.554,
2007-01,1.515,
2007-04,1.664,
2007-07,1.655,
2007-10,1.747,
2008-01,1.746,
2008-04,1.755,
2008-07,1.739,
2008-10,1.734,
2009-01,1.636,
2009-04,1.676,
2009-07,1.653,
2009-10,1.609,
2010-01,1.651,
2010-04,1.604,
2010-07,1.624,
2010-10,1.540,
2011-01,1.555,
2011-04,1.560,
2011-07,1.579,
2011-10,1.538,
2012-01,1.551,
2012-04,1.565,
2012-07,1.518,
2012-10,1.449,
2013-01,1.446,
2013-04,1.424,
2013-07,1.394,
2013-10,1.386,
2014-01,1.391,
2014-04,1.406,
2014-07,1.382,
