"",BBK01.OELK04H,BBK01.OELK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:30,
2002-01,2.376,
2002-04,2.304,
2002-07,2.271,
2002-10,2.296,
2003-01,2.278,
2003-04,2.102,
2003-07,2.028,
2003-10,2.010,
2004-01,1.930,
2004-04,1.819,
2004-07,1.769,
2004-10,1.759,
2005-01,1.710,
2005-04,1.656,
2005-07,1.624,
2005-10,1.638,
2006-01,1.685,
2006-04,1.676,
2006-07,1.732,
2006-10,1.858,
2007-01,1.935,
2007-04,2.007,
2007-07,2.110,
2007-10,2.286,
2008-01,2.410,
2008-04,2.494,
2008-07,2.593,
2008-10,3.135,
2009-01,2.694,
2009-04,2.149,
2009-07,1.818,
2009-10,1.699,
2010-01,1.561,
2010-04,1.453,
2010-07,1.408,
2010-10,1.458,
2011-01,1.427,
2011-04,1.337,
2011-07,1.346,
2011-10,1.373,
2012-01,1.332,
2012-04,1.267,
2012-07,1.179,
2012-10,1.118,
2013-01,1.059,
2013-04,0.974,
2013-07,0.939,
2013-10,0.910,
2014-01,0.881,
2014-04,0.850,
2014-07,0.830,
