"",BBK01.OEYL03L,BBK01.OEYL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:09,
2002-01,7.185,
2002-04,8.576,
2002-07,8.970,
2002-10,9.234,
2003-01,9.545,
2003-04,9.657,
2003-07,9.991,
2003-10,10.312,
2004-01,10.525,
2004-04,10.569,
2004-07,10.754,
2004-10,11.203,
2005-01,11.382,
2005-04,11.322,
2005-07,11.404,
2005-10,11.302,
2006-01,11.335,
2006-04,11.424,
2006-07,11.385,
2006-10,11.709,
2007-01,11.673,
2007-04,11.557,
2007-07,11.392,
2007-10,11.480,
2008-01,11.471,
2008-04,11.317,
2008-07,11.224,
2008-10,11.259,
2009-01,11.262,
2009-04,11.262,
2009-07,11.262,
2009-10,11.731,
2010-01,11.864,
2010-04,12.061,
2010-07,12.124,
2010-10,12.475,
2011-01,9.234,
2011-04,9.382,
2011-07,9.527,
2011-10,9.727,
2012-01,9.915,
2012-04,10.056,
2012-07,10.197,
2012-10,10.539,
2013-01,10.855,
2013-04,11.093,
2013-07,11.250,
2013-10,11.707,
2014-01,11.907,
2014-04,12.060,
2014-07,12.219,
