"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.LV.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.LV.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Latvia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:32,
2009-09,33,
2009-10,28,
2009-11,28,
2009-12,29,
2010-01,30,
2010-02,31,
2010-03,32,
2010-04,32,
2010-05,31,
2010-06,28,
2010-07,22,
2010-08,22,
2010-09,17,
2010-10,12,
2010-11,12,
2010-12,12,
2011-01,12,
2011-02,12,
2011-03,12,
2011-04,12,
2011-05,12,
2011-06,27,
2011-07,27,
2011-08,34,
2011-09,37,
2011-10,36,
2011-11,39,
2011-12,42,
2012-01,43,
2012-02,42,
2012-03,45,
2012-04,48,
2012-05,56,
2012-06,60,
2012-07,66,
2012-08,81,
2012-09,92,
2012-10,111,
2012-11,119,
2012-12,168,
2013-01,175,
2013-02,194,
2013-03,209,
2013-04,216,
2013-05,218,
2013-06,226,
2013-07,231,
2013-08,240,
2013-09,226,
2013-10,225,
2013-11,240,
2013-12,246,
2014-01,360,
2014-02,368,
2014-03,378,
2014-04,562,
2014-05,550,
2014-06,552,
2014-07,555,
2014-08,573,
2014-09,563,
2014-10,588,
2014-11,584,
