"",BBK01.CEB30X,BBK01.CEB30X_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:16,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,97.1,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,103.3,
1993-01,0.0,
1993-04,116.4,
1993-07,121.5,
1993-10,126.6,
1994-01,129.4,
1994-04,132.7,
1994-07,133.5,
1994-10,136.7,
1995-01,139.6,
1995-04,143.8,
1995-07,154.3,
1995-10,161.9,
1996-01,169.5,
1996-04,178.9,
1996-07,185.8,
1996-10,192.5,
1997-01,203.5,
1997-04,220.2,
1997-07,227.2,
1997-10,232.0,
1998-01,248.3,
1998-04,261.0,
1998-07,267.6,
1998-10,271.8,
1999-01,288.3,
1999-04,297.6,
1999-07,299.4,
1999-10,307.3,
2000-01,318.4,
2000-04,321.6,
2000-07,325.3,
2000-10,322.8,
2001-01,337.5,
2001-04,337.2,
2001-07,344.1,
2001-10,350.8,
2002-01,353.9,
2002-04,357.6,
2002-07,381.5,
2002-10,394.6,
2003-01,405.9,
2003-04,425.9,
2003-07,433.2,
2003-10,427.1,
2004-01,436.8,
2004-04,433.5,
2004-07,442.7,
2004-10,439.5,
2005-01,446.7,
2005-04,466.9,
2005-07,476.5,
2005-10,470.9,
2006-01,473.3,
2006-04,487.2,
2006-07,499.6,
2006-10,493.6,
2007-01,502.5,
2007-04,491.8,
2007-07,484.7,
2007-10,481.5,
2008-01,481.9,
2008-04,475.2,
2008-07,480.0,
2008-10,483.1,
2009-01,496.9,
2009-04,523.8,
2009-07,563.2,
2009-10,574.1,
2010-01,593.7,
2010-04,622.2,
2010-07,638.9,
2010-10,617.9,
2011-01,606.3,
2011-04,608.6,
2011-07,602.0,
2011-10,605.2,
2012-01,629.5,
2012-04,646.6,
2012-07,675.8,
2012-10,690.5,
2013-01,697.6,
2013-04,695.8,
2013-07,700.9,
2013-10,710.4,
2014-01,743.4,
