"",BBSF2.M.1.S.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Other funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:17,
2009-09,66,
2009-10,105,
2009-11,249,
2009-12,207,
2010-01,207,
2010-02,208,
2010-03,354,
2010-04,418,
2010-05,344,
2010-06,349,
2010-07,544,
2010-08,496,
2010-09,507,
2010-10,454,
2010-11,518,
2010-12,440,
2011-01,545,
2011-02,593,
2011-03,719,
2011-04,622,
2011-05,866,
2011-06,831,
2011-07,677,
2011-08,804,
2011-09,801,
2011-10,1406,
2011-11,1532,
2011-12,1526,
2012-01,1600,
2012-02,1407,
2012-03,1389,
2012-04,1433,
2012-05,1409,
2012-06,1393,
2012-07,1616,
2012-08,1730,
2012-09,1717,
2012-10,1792,
2012-11,1477,
2012-12,1575,
2013-01,1489,
2013-02,1373,
2013-03,1609,
2013-04,1631,
2013-05,1360,
2013-06,1285,
2013-07,1428,
2013-08,1364,
2013-09,1492,
2013-10,1638,
2013-11,1444,
2013-12,1259,
2014-01,1434,
2014-02,1447,
2014-03,1546,
2014-04,1617,
2014-05,1665,
2014-06,1610,
2014-07,1615,
2014-08,1695,
2014-09,1882,
2014-10,1671,
2014-11,1617,
