"",BBK01.OEAC37N,BBK01.OEAC37N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:39,
2002-01,1.179,
2002-04,1.000,
2002-07,0.994,
2002-10,1.203,
2003-01,1.203,
2003-04,1.107,
2003-07,1.084,
2003-10,1.186,
2004-01,1.112,
2004-04,1.083,
2004-07,1.118,
2004-10,1.134,
2005-01,1.121,
2005-04,1.102,
2005-07,1.113,
2005-10,1.171,
2006-01,1.169,
2006-04,1.177,
2006-07,1.225,
2006-10,1.253,
2007-01,1.290,
2007-04,1.297,
2007-07,1.297,
2007-10,1.516,
2008-01,1.604,
2008-04,1.886,
2008-07,1.739,
2008-10,1.556,
2009-01,1.531,
2009-04,1.543,
2009-07,1.562,
2009-10,1.560,
2010-01,1.489,
2010-04,1.542,
2010-07,1.590,
2010-10,1.595,
2011-01,1.678,
2011-04,1.641,
2011-07,1.700,
2011-10,1.620,
2012-01,1.646,
2012-04,1.656,
2012-07,1.614,
2012-10,1.588,
2013-01,1.610,
2013-04,1.631,
2013-07,1.617,
2013-10,1.614,
2014-01,1.630,
2014-04,1.797,
2014-07,1.658,
