"",BBK01.OEAA13U,BBK01.OEAA13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:44,
2002-01,20.979,
2002-04,21.180,
2002-07,21.224,
2002-10,21.870,
2003-01,21.730,
2003-04,21.853,
2003-07,21.907,
2003-10,22.026,
2004-01,22.002,
2004-04,21.502,
2004-07,21.644,
2004-10,21.815,
2005-01,22.156,
2005-04,22.027,
2005-07,22.180,
2005-10,22.203,
2006-01,22.161,
2006-04,22.293,
2006-07,22.479,
2006-10,22.502,
2007-01,22.322,
2007-04,22.258,
2007-07,22.157,
2007-10,22.391,
2008-01,21.958,
2008-04,21.927,
2008-07,21.953,
2008-10,22.078,
2009-01,21.890,
2009-04,22.836,
2009-07,23.052,
2009-10,23.121,
2010-01,23.134,
2010-04,23.262,
2010-07,23.456,
2010-10,23.510,
2011-01,23.586,
2011-04,23.772,
2011-07,23.862,
2011-10,23.860,
2012-01,23.919,
2012-04,24.434,
2012-07,24.592,
2012-10,24.668,
2013-01,25.310,
2013-04,25.656,
2013-07,26.119,
2013-10,26.457,
2014-01,26.691,
2014-04,26.963,
2014-07,26.830,
