"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA._T.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA._T.F._Z._T._X.N_FLAGS
"",IIP - Total external net financial assets/liabilities - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:33,
1999-10,63729,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,33989,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,142220,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,55621,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,88152,
2004-01,100883,
2004-04,165408,
2004-07,173049,
2004-10,188037,
2005-01,252322,
2005-04,310043,
2005-07,348521,
2005-10,413370,
2006-01,475635,
2006-04,552964,
2006-07,584094,
2006-10,602894,
2007-01,636840,
2007-04,630621,
2007-07,602712,
2007-10,606129,
2008-01,629937,
2008-04,727041,
2008-07,730428,
2008-10,593868,
2009-01,561200,
2009-04,672691,
2009-07,659327,
2009-10,736773,
2010-01,759490,
2010-04,795357,
2010-07,739552,
2010-10,793320,
2011-01,835596,
2011-04,824162,
2011-07,750332,
2011-10,773718,
2012-01,821572,
2012-04,873530,
2012-07,915811,
2012-10,952990,
2013-01,1012681,
2013-04,1042961,
2013-07,1140841,
2013-10,1204217,
2014-01,1251676,
2014-04,1326051,
2014-07,1423949,
