"",BBFN1.M.DE.N.1.L.SG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:09,
1982-09,0.205,
1982-10,0.229,
1982-11,0.224,
1982-12,0.222,
1983-01,0.230,
1983-02,0.230,
1983-03,0.230,
1983-04,0.231,
1983-05,0.229,
1983-06,0.234,
1983-07,0.222,
1983-08,0.230,
1983-09,0.221,
1983-10,0.223,
1983-11,0.223,
1983-12,0.225,
1984-01,0.203,
1984-02,0.202,
1984-03,0.203,
1984-04,0.198,
1984-05,0.204,
1984-06,0.208,
1984-07,0.206,
1984-08,0.244,
1984-09,0.245,
1984-10,0.243,
1984-11,0.244,
1984-12,0.269,
1985-01,0.244,
1985-02,0.269,
1985-03,0.269,
1985-04,0.265,
1985-05,0.275,
1985-06,0.286,
1985-07,0.287,
1985-08,0.239,
1985-09,0.236,
1985-10,0.223,
1985-11,0.234,
1985-12,0.228,
1986-01,0.219,
1986-02,0.242,
1986-03,0.232,
1986-04,0.220,
1986-05,0.071,
1986-06,0.073,
1986-07,0.079,
1986-08,0.079,
1986-09,0.085,
1986-10,0.080,
1986-11,0.078,
1986-12,0.075,
1987-01,0.073,
1987-02,0.072,
1987-03,0.077,
1987-04,0.079,
1987-05,0.076,
1987-06,0.081,
1987-07,0.081,
1987-08,0.082,
1987-09,0.083,
1987-10,0.079,
1987-11,0.082,
1987-12,0.082,
1988-01,0.082,
1988-02,0.083,
1988-03,0.180,
1988-04,0.083,
1988-05,0.082,
1988-06,0.081,
1988-07,0.080,
1988-08,0.073,
1988-09,0.022,
1988-10,0.021,
1988-11,0.037,
1988-12,0.053,
1989-01,0.030,
1989-02,0.028,
1989-03,0.029,
1989-04,0.020,
1989-05,0.025,
1989-06,0.025,
1989-07,0.026,
1989-08,0.026,
1989-09,0.029,
1989-10,0.036,
1989-11,0.037,
1989-12,0.030,
1990-01,0.062,
1990-02,0.116,
1990-03,0.112,
1990-04,0.102,
1990-05,0.103,
1990-06,0.099,
1990-07,0.111,
1990-08,0.104,
1990-09,0.136,
1990-10,0.150,
1990-11,0.149,
1990-12,0.139,
1991-01,0.137,
1991-02,0.126,
1991-03,0.122,
1991-04,0.107,
1991-05,0.120,
1991-06,0.128,
1991-07,0.122,
1991-08,0.098,
1991-09,0.065,
1991-10,0.061,
1991-11,0.070,
1991-12,0.055,
1992-01,0.034,
1992-02,0.028,
1992-03,0.017,
1992-04,0.049,
1992-05,0.049,
1992-06,0.053,
1992-07,0.062,
1992-08,0.053,
1992-09,0.025,
1992-10,0.024,
1992-11,0.027,
1992-12,0.020,
1993-01,0.027,
1993-02,0.019,
1993-03,0.021,
1993-04,0.024,
1993-05,0.014,
1993-06,0.015,
1993-07,0.028,
1993-08,0.026,
1993-09,0.031,
1993-10,0.039,
1993-11,0.041,
1993-12,0.034,
1994-01,0.030,
1994-02,0.030,
1994-03,0.036,
1994-04,0.056,
1994-05,0.046,
1994-06,0.043,
1994-07,0.035,
1994-08,0.049,
1994-09,0.051,
1994-10,0.052,
1994-11,0.055,
1994-12,0.054,
1995-01,0.054,
1995-02,0.038,
1995-03,0.075,
1995-04,0.059,
1995-05,0.047,
1995-06,0.040,
1995-07,0.050,
1995-08,0.031,
1995-09,0.034,
1995-10,0.032,
1995-11,0.044,
1995-12,0.066,
1996-01,0.048,
1996-02,0.044,
1996-03,0.047,
1996-04,0.076,
1996-05,0.065,
1996-06,0.063,
1996-07,0.059,
1996-08,0.054,
1996-09,0.090,
1996-10,0.100,
1996-11,0.091,
1996-12,0.118,
1997-01,0.122,
1997-02,0.120,
1997-03,0.222,
1997-04,0.273,
1997-05,0.224,
1997-06,0.245,
1997-07,0.267,
1997-08,0.223,
1997-09,0.183,
1997-10,0.187,
1997-11,0.173,
1997-12,0.130,
1998-01,0.157,
1998-02,0.182,
1998-03,0.206,
1998-04,0.210,
1998-05,0.212,
1998-06,0.209,
1998-07,0.205,
1998-08,0.196,
1998-09,0.186,
1998-10,0.198,
1998-11,0.201,
1998-12,0.227,
1999-01,0.206,
1999-02,0.244,
1999-03,0.300,
1999-04,0.303,
1999-05,0.322,
1999-06,0.305,
1999-07,0.351,
1999-08,0.389,
1999-09,0.316,
1999-10,0.304,
1999-11,0.310,
1999-12,0.311,
2000-01,0.373,
2000-02,0.424,
2000-03,0.447,
2000-04,0.441,
2000-05,0.407,
2000-06,0.478,
2000-07,0.573,
2000-08,0.533,
2000-09,0.603,
2000-10,0.555,
2000-11,0.617,
2000-12,0.569,
2001-01,0.603,
2001-02,0.657,
2001-03,0.997,
2001-04,1.245,
2001-05,1.513,
2001-06,1.993,
2001-07,2.120,
2001-08,2.197,
2001-09,2.192,
2001-10,2.244,
2001-11,2.362,
2001-12,2.181,
2002-01,2.266,
2002-02,2.285,
2002-03,2.148,
2002-04,2.070,
2002-05,2.052,
2002-06,2.080,
2002-07,2.164,
2002-08,2.132,
2002-09,2.255,
2002-10,2.015,
2002-11,2.025,
2002-12,2.101,
2003-01,2.368,
2003-02,2.309,
2003-03,2.383,
2003-04,2.302,
2003-05,2.315,
2003-06,2.416,
2003-07,2.395,
2003-08,2.422,
2003-09,2.155,
2003-10,2.133,
2003-11,2.282,
2003-12,1.900,
2004-01,1.885,
2004-02,1.838,
2004-03,1.869,
2004-04,1.834,
2004-05,1.800,
2004-06,1.815,
2004-07,1.726,
2004-08,1.795,
2004-09,1.693,
2004-10,1.703,
2004-11,1.689,
2004-12,1.702,
2005-01,1.535,
2005-02,1.319,
2005-03,1.341,
2005-04,1.389,
2005-05,1.397,
2005-06,1.432,
2005-07,1.381,
2005-08,1.353,
2005-09,1.361,
2005-10,1.292,
2005-11,1.404,
2005-12,1.494,
2006-01,1.576,
2006-02,1.646,
2006-03,1.655,
2006-04,1.630,
2006-05,1.900,
2006-06,1.981,
2006-07,1.931,
2006-08,1.939,
2006-09,1.857,
2006-10,1.984,
2006-11,2.005,
2006-12,1.953,
2007-01,1.952,
2007-02,1.897,
2007-03,1.996,
2007-04,1.363,
2007-05,1.402,
2007-06,1.515,
2007-07,1.571,
2007-08,1.684,
2007-09,1.494,
2007-10,1.574,
2007-11,1.549,
2007-12,1.369,
2008-01,1.431,
2008-02,1.429,
2008-03,1.387,
2008-04,1.329,
2008-05,1.377,
2008-06,1.376,
2008-07,1.415,
2008-08,1.520,
2008-09,1.554,
2008-10,1.704,
2008-11,1.705,
2008-12,1.637,
2009-01,1.689,
2009-02,1.681,
2009-03,1.620,
2009-04,1.594,
2009-05,1.532,
2009-06,1.418,
2009-07,1.430,
2009-08,1.272,
2009-09,1.350,
2009-10,1.376,
2009-11,1.479,
2009-12,1.501,
2010-01,1.519,
2010-02,1.470,
2010-03,1.524,
2010-04,1.499,
2010-05,1.468,
2010-06,1.590,
2010-07,1.646,
2010-08,1.606,
2010-09,1.606,
2010-10,1.671,
2010-11,2.050,
2010-12,1.962,
2011-01,2.114,
2011-02,2.051,
2011-03,2.168,
2011-04,2.107,
2011-05,2.093,
2011-06,2.164,
2011-07,2.223,
2011-08,2.172,
2011-09,2.172,
2011-10,1.824,
