"",BBK01.OEAA51V,BBK01.OEAA51V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:22,
2002-01,0.135,
2002-04,0.124,
2002-07,0.180,
2002-10,0.256,
2003-01,0.182,
2003-04,0.351,
2003-07,0.286,
2003-10,0.365,
2004-01,0.464,
2004-04,0.109,
2004-07,0.122,
2004-10,0.197,
2005-01,0.089,
2005-04,0.071,
2005-07,0.048,
2005-10,1.224,
2006-01,1.841,
2006-04,1.912,
2006-07,2.103,
2006-10,2.193,
2007-01,2.418,
2007-04,2.466,
2007-07,9.178,
2007-10,5.835,
2008-01,5.803,
2008-04,0.131,
2008-07,0.109,
2008-10,0.114,
2009-01,0.093,
2009-04,0.083,
2009-07,0.079,
2009-10,0.095,
2010-01,0.076,
2010-04,0.826,
2010-07,0.483,
2010-10,0.501,
2011-01,0.568,
2011-04,0.485,
2011-07,0.745,
2011-10,0.763,
2012-01,0.710,
2012-04,0.726,
2012-07,0.630,
2012-10,0.470,
2013-01,0.481,
2013-04,0.183,
2013-07,0.234,
2013-10,0.233,
2014-01,0.236,
2014-04,0.260,
2014-07,0.272,
