"",BBK01.OEAD07J,BBK01.OEAD07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:17,
2002-01,0.087,
2002-04,0.086,
2002-07,0.088,
2002-10,0.083,
2003-01,0.089,
2003-04,0.093,
2003-07,0.100,
2003-10,0.103,
2004-01,0.091,
2004-04,0.090,
2004-07,0.095,
2004-10,0.096,
2005-01,0.097,
2005-04,0.101,
2005-07,0.099,
2005-10,0.102,
2006-01,0.109,
2006-04,0.112,
2006-07,0.111,
2006-10,0.120,
2007-01,0.132,
2007-04,0.142,
2007-07,0.144,
2007-10,0.158,
2008-01,0.178,
2008-04,0.181,
2008-07,0.180,
2008-10,0.175,
2009-01,0.162,
2009-04,0.159,
2009-07,0.168,
2009-10,0.181,
2010-01,0.115,
2010-04,0.139,
2010-07,0.139,
2010-10,0.152,
2011-01,0.152,
2011-04,0.137,
2011-07,0.147,
2011-10,0.149,
2012-01,0.145,
2012-04,0.155,
2012-07,0.159,
2012-10,0.133,
2013-01,0.124,
2013-04,0.110,
2013-07,0.128,
2013-10,0.120,
2014-01,0.123,
2014-04,0.128,
2014-07,0.112,
