"",BBEX3.M.USD.EUR.BB.AC.A02,BBEX3.M.USD.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = USD ... / United States,
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:57,
1999-01,1.1608,
1999-02,1.1208,
1999-03,1.0883,
1999-04,1.0704,
1999-05,1.0628,
1999-06,1.0378,
1999-07,1.0353,
1999-08,1.0604,
1999-09,1.0501,
1999-10,1.0706,
1999-11,1.0338,
1999-12,1.0110,
2000-01,1.0137,
2000-02,0.9834,
2000-03,0.9643,
2000-04,0.9470,
2000-05,0.9060,
2000-06,0.9492,
2000-07,0.9397,
2000-08,0.9041,
2000-09,0.8721,
2000-10,0.8552,
2000-11,0.8564,
2000-12,0.8973,
2001-01,0.9383,
2001-02,0.9217,
2001-03,0.9095,
2001-04,0.8920,
2001-05,0.8742,
2001-06,0.8532,
2001-07,0.8607,
2001-08,0.9005,
2001-09,0.9111,
2001-10,0.9059,
2001-11,0.8883,
2001-12,0.8924,
2002-01,0.8833,
2002-02,0.8700,
2002-03,0.8758,
2002-04,0.8858,
2002-05,0.9170,
2002-06,0.9554,
2002-07,0.9922,
2002-08,0.9778,
2002-09,0.9808,
2002-10,0.9811,
2002-11,1.0014,
2002-12,1.0183,
2003-01,1.0622,
2003-02,1.0773,
2003-03,1.0807,
2003-04,1.0848,
2003-05,1.1582,
2003-06,1.1663,
2003-07,1.1372,
2003-08,1.1139,
2003-09,1.1222,
2003-10,1.1692,
2003-11,1.1702,
2003-12,1.2286,
2004-01,1.2613,
2004-02,1.2646,
2004-03,1.2262,
2004-04,1.1985,
2004-05,1.2007,
2004-06,1.2138,
2004-07,1.2266,
2004-08,1.2176,
2004-09,1.2218,
2004-10,1.2490,
2004-11,1.2991,
2004-12,1.3408,
2005-01,1.3119,
2005-02,1.3014,
2005-03,1.3201,
2005-04,1.2938,
2005-05,1.2694,
2005-06,1.2165,
2005-07,1.2037,
2005-08,1.2292,
2005-09,1.2256,
2005-10,1.2015,
2005-11,1.1786,
2005-12,1.1856,
2006-01,1.2103,
2006-02,1.1938,
2006-03,1.2020,
2006-04,1.2271,
2006-05,1.2770,
2006-06,1.2650,
2006-07,1.2684,
2006-08,1.2811,
2006-09,1.2727,
2006-10,1.2611,
2006-11,1.2881,
2006-12,1.3213,
2007-01,1.2999,
2007-02,1.3074,
2007-03,1.3242,
2007-04,1.3516,
2007-05,1.3511,
2007-06,1.3419,
2007-07,1.3716,
2007-08,1.3622,
2007-09,1.3896,
2007-10,1.4227,
2007-11,1.4684,
2007-12,1.4570,
2008-01,1.4718,
2008-02,1.4748,
2008-03,1.5527,
2008-04,1.5751,
2008-05,1.5557,
2008-06,1.5553,
2008-07,1.5770,
2008-08,1.4975,
2008-09,1.4370,
2008-10,1.3322,
2008-11,1.2732,
2008-12,1.3449,
2009-01,1.3239,
2009-02,1.2785,
2009-03,1.3050,
2009-04,1.3190,
2009-05,1.3650,
2009-06,1.4016,
2009-07,1.4088,
2009-08,1.4268,
2009-09,1.4562,
2009-10,1.4816,
2009-11,1.4914,
2009-12,1.4614,
2010-01,1.4272,
2010-02,1.3686,
2010-03,1.3569,
2010-04,1.3406,
2010-05,1.2565,
2010-06,1.2209,
2010-07,1.2770,
2010-08,1.2894,
2010-09,1.3067,
2010-10,1.3898,
2010-11,1.3661,
2010-12,1.3220,
2011-01,1.3360,
2011-02,1.3649,
2011-03,1.3999,
2011-04,1.4442,
2011-05,1.4349,
2011-06,1.4388,
2011-07,1.4264,
2011-08,1.4343,
2011-09,1.3770,
2011-10,1.3706,
2011-11,1.3556,
2011-12,1.3179,
2012-01,1.2905,
2012-02,1.3224,
2012-03,1.3201,
2012-04,1.3162,
2012-05,1.2789,
2012-06,1.2526,
2012-07,1.2288,
2012-08,1.2400,
2012-09,1.2856,
2012-10,1.2974,
2012-11,1.2828,
2012-12,1.3119,
2013-01,1.3288,
2013-02,1.3359,
2013-03,1.2964,
2013-04,1.3026,
2013-05,1.2982,
2013-06,1.3189,
2013-07,1.3080,
2013-08,1.3310,
2013-09,1.3348,
2013-10,1.3635,
2013-11,1.3493,
2013-12,1.3704,
2014-01,1.3610,
2014-02,1.3659,
2014-03,1.3823,
2014-04,1.3813,
2014-05,1.3732,
2014-06,1.3592,
2014-07,1.3539,
2014-08,1.3316,
2014-09,1.2901,
2014-10,1.2673,
2014-11,1.2472,
2014-12,1.2331,
2015-01,1.1621,
2015-02,1.1350,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
