"",BBFB1.Q.N.DE.HU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:01,
1991-01,37.730,
1991-04,17.509,
1991-07,21.055,
1991-10,16.943,
1992-01,17.978,
1992-04,18.220,
1992-07,28.652,
1992-10,22.227,
1993-01,15.969,
1993-04,19.786,
1993-07,22.869,
1993-10,25.757,
1994-01,23.443,
1994-04,18.832,
1994-07,30.667,
1994-10,27.931,
1995-01,20.335,
1995-04,21.347,
1995-07,20.788,
1995-10,21.612,
1996-01,23.696,
1996-04,21.828,
1996-07,22.574,
1996-10,23.772,
1997-01,21.933,
1997-04,21.089,
1997-07,22.059,
1997-10,22.461,
1998-01,23.653,
1998-04,21.500,
1998-07,23.552,
1998-10,24.641,
1999-01,25.008,
1999-04,24.281,
1999-07,22.767,
1999-10,27.899,
2000-01,29.299,
2000-04,24.945,
2000-07,28.545,
2000-10,27.844,
2001-01,28.478,
2001-04,53.919,
2001-07,44.374,
2001-10,27.053,
2002-01,22.929,
2002-04,38.329,
2002-07,26.111,
2002-10,29.017,
2003-01,23.693,
2003-04,38.260,
2003-07,25.856,
2003-10,32.628,
2004-01,24.424,
2004-04,27.344,
2004-07,56.559,
2004-10,18.561,
2005-01,24.879,
2005-04,21.150,
2005-07,21.369,
2005-10,26.310,
2006-01,18.418,
2006-04,20.816,
2006-07,15.497,
2006-10,17.152,
2007-01,18.939,
2007-04,16.739,
2007-07,20.645,
2007-10,22.272,
2008-01,16.507,
2008-04,18.247,
2008-07,17.906,
2008-10,19.642,
2009-01,24.794,
2009-04,23.578,
2009-07,23.675,
2009-10,29.817,
2010-01,33.475,
2010-04,74.296,
2010-07,54.501,
2010-10,40.608,
2011-01,24.133,
2011-04,23.971,
2011-07,24.890,
2011-10,25.278,
2012-01,24.387,
2012-04,30.711,
2012-07,31.685,
2012-10,27.395,
2013-01,29.873,
2013-04,41.155,
2013-07,26.975,
2013-10,36.214,
2014-01,29.790,Provisional value
2014-04,32.031,Provisional value
2014-07,43.265,Provisional value
