"",BBK01.OEAA51O,BBK01.OEAA51O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:44,
2002-01,0.339,
2002-04,0.912,
2002-07,0.797,
2002-10,0.807,
2003-01,0.351,
2003-04,-0.238,
2003-07,0.529,
2003-10,0.528,
2004-01,0.601,
2004-04,0.017,
2004-07,0.581,
2004-10,0.440,
2005-01,0.703,
2005-04,0.719,
2005-07,0.728,
2005-10,0.805,
2006-01,0.935,
2006-04,1.026,
2006-07,0.990,
2006-10,0.933,
2007-01,0.794,
2007-04,0.967,
2007-07,1.150,
2007-10,1.238,
2008-01,1.600,
2008-04,1.305,
2008-07,1.142,
2008-10,1.317,
2009-01,1.050,
2009-04,1.053,
2009-07,0.946,
2009-10,0.864,
2010-01,0.905,
2010-04,0.975,
2010-07,1.006,
2010-10,0.950,
2011-01,0.887,
2011-04,0.893,
2011-07,0.949,
2011-10,0.899,
2012-01,0.922,
2012-04,0.744,
2012-07,0.799,
2012-10,0.831,
2013-01,0.744,
2013-04,0.814,
2013-07,1.005,
2013-10,0.985,
2014-01,0.905,
2014-04,0.998,
2014-07,0.995,
