"",BBK01.CEFFL0,BBK01.CEFFL0_FLAGS
"",long-term loans  debtor: Pension funds               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:04,
1999-01,0.2,
1999-04,0.2,
1999-07,0.3,
1999-10,0.7,
2000-01,0.7,
2000-04,0.7,
2000-07,0.7,
2000-10,0.3,
2001-01,0.3,
2001-04,0.3,
2001-07,0.3,
2001-10,0.3,
2002-01,0.3,
2002-04,0.3,
2002-07,0.3,
2002-10,0.3,
2003-01,0.3,
2003-04,0.3,
2003-07,0.3,
2003-10,0.2,
2004-01,0.2,
2004-04,0.2,
2004-07,0.2,
2004-10,0.3,
2005-01,0.3,
2005-04,0.3,
2005-07,0.3,
2005-10,0.6,
2006-01,0.6,
2006-04,0.6,
2006-07,0.6,
2006-10,0.6,
2007-01,0.7,
2007-04,0.7,
2007-07,0.7,
2007-10,0.7,
2008-01,0.7,
2008-04,0.6,
2008-07,0.6,
2008-10,0.6,
2009-01,0.6,
2009-04,0.6,
2009-07,0.6,
2009-10,1.0,
2010-01,1.0,
2010-04,1.0,
2010-07,1.0,
2010-10,0.9,
2011-01,0.9,
2011-04,0.9,
2011-07,0.9,
2011-10,1.0,
2012-01,1.0,
2012-04,1.0,
2012-07,1.0,
2012-10,1.0,
2013-01,1.0,
2013-04,1.0,
2013-07,1.0,
2013-10,1.0,
2014-01,1.0,
2014-04,1.0,
2014-07,1.0,
