"",BBNZ1.Q.DE.Y.H.0065.A,BBNZ1.Q.DE.Y.H.0065.A_FLAGS
"","Germany / National accounts / Origin of GDP / Public services, education and health / Chain-linked index / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:43,
1991-01,73.63,
1991-04,74.21,
1991-07,75.63,
1991-10,77.24,
1992-01,78.03,
1992-04,78.38,
1992-07,78.99,
1992-10,78.81,
1993-01,79.17,
1993-04,79.48,
1993-07,79.37,
1993-10,78.97,
1994-01,80.50,
1994-04,81.14,
1994-07,81.67,
1994-10,81.75,
1995-01,81.87,
1995-04,82.56,
1995-07,83.11,
1995-10,84.12,
1996-01,84.22,
1996-04,85.01,
1996-07,85.16,
1996-10,85.49,
1997-01,86.15,
1997-04,86.48,
1997-07,86.89,
1997-10,87.01,
1998-01,87.12,
1998-04,87.19,
1998-07,87.47,
1998-10,87.65,
1999-01,88.35,
1999-04,88.32,
1999-07,88.55,
1999-10,88.85,
2000-01,89.54,
2000-04,90.16,
2000-07,90.09,
2000-10,90.30,
2001-01,90.05,
2001-04,90.29,
2001-07,90.48,
2001-10,90.95,
2002-01,91.77,
2002-04,91.78,
2002-07,92.25,
2002-10,92.75,
2003-01,92.05,
2003-04,92.06,
2003-07,92.44,
2003-10,92.70,
2004-01,92.08,
2004-04,92.11,
2004-07,92.19,
2004-10,92.21,
2005-01,92.38,
2005-04,92.38,
2005-07,92.68,
2005-10,92.79,
2006-01,92.78,
2006-04,93.10,
2006-07,92.98,
2006-10,93.05,
2007-01,93.86,
2007-04,94.31,
2007-07,94.14,
2007-10,93.69,
2008-01,96.10,
2008-04,96.36,
2008-07,96.79,
2008-10,96.83,
2009-01,97.16,
2009-04,97.85,
2009-07,98.36,
2009-10,99.10,
2010-01,99.85,
2010-04,99.72,
2010-07,100.07,
2010-10,100.05,
2011-01,100.88,
2011-04,100.93,
2011-07,101.16,
2011-10,101.39,
2012-01,101.76,
2012-04,102.08,
2012-07,102.30,
2012-10,102.55,
2013-01,101.63,
2013-04,101.98,
2013-07,102.14,
2013-10,102.72,
2014-01,103.28,
2014-04,103.16,
2014-07,103.01,
2014-10,103.93,
