"",BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:11,
1991-01,-587.590,
1991-04,-121.818,
1991-07,846.800,
1991-10,1753.901,
1992-01,2752.981,
1992-04,308.016,
1992-07,3314.058,
1992-10,1469.523,
1993-01,2956.975,
1993-04,592.220,
1993-07,1349.287,
1993-10,3910.773,
1994-01,448.240,
1994-04,2200.520,
1994-07,-132.854,
1994-10,-250.321,
1995-01,246.950,
1995-04,5397.614,
1995-07,-309.949,
1995-10,4033.856,
1996-01,-1333.082,
1996-04,-1032.292,
1996-07,-636.647,
1996-10,677.168,
1997-01,3762.016,
1997-04,3810.518,
1997-07,279.853,
1997-10,693.771,
1998-01,450.728,
1998-04,4278.094,
1998-07,7175.240,
1998-10,5385.926,
1999-01,-466.423,
1999-04,3448.966,
1999-07,5539.417,
1999-10,1505.132,
2000-01,-329.309,
2000-04,4235.440,
2000-07,1821.173,
2000-10,2573.809,
2001-01,4881.238,
2001-04,3763.051,
2001-07,2839.019,
2001-10,1843.343,
2002-01,2146.242,
2002-04,1668.401,
2002-07,9012.527,
2002-10,2954.732,
2003-01,1826.549,
2003-04,4293.943,
2003-07,844.272,
2003-10,909.604,
2004-01,591.010,
2004-04,851.452,
2004-07,3722.925,
2004-10,1048.512,
2005-01,-1101.826,
2005-04,3872.051,
2005-07,1778.270,
2005-10,3516.932,
2006-01,1209.586,
2006-04,711.306,
2006-07,352.893,
2006-10,2716.525,
2007-01,672.345,
2007-04,4142.397,
2007-07,-2014.359,
2007-10,6117.651,
2008-01,3067.916,
2008-04,1884.316,
2008-07,6076.702,
2008-10,1951.136,
2009-01,4354.726,
2009-04,2197.714,
2009-07,3041.442,
2009-10,1148.716,
2010-01,4035.442,
2010-04,2002.685,
2010-07,4904.867,
2010-10,2871.612,
2011-01,5310.306,
2011-04,3767.237,
2011-07,2044.593,
2011-10,714.966,
2012-01,4519.794,
2012-04,-2810.827,
2012-07,1819.810,
2012-10,4435.899,
2013-01,1856.823,
2013-04,5369.486,
2013-07,1327.429,
2013-10,4186.755,
2014-01,-2423.301,Provisional value
2014-04,-2145.483,Provisional value
2014-07,-2726.058,Provisional value
2014-10,-1497.852,Provisional value
