"",BBDA1.M.DE.N.EX.S.A.O1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.O1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Australia, Oceania and polar regions / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:53,
1993-01,195242,
1993-02,174136,
1993-03,196872,
1993-04,182426,
1993-05,176751,
1993-06,189225,
1993-07,203331,
1993-08,189889,
1993-09,194550,
1993-10,277123,
1993-11,179869,
1993-12,255119,
1994-01,171906,
1994-02,181925,
1994-03,210549,
1994-04,204119,
1994-05,244381,
1994-06,250550,
1994-07,235718,
1994-08,245085,
1994-09,253131,
1994-10,275683,
1994-11,259458,
1994-12,295776,
1995-01,226510,
1995-02,222292,
1995-03,276053,
1995-04,238340,
1995-05,418447,
1995-06,280005,
1995-07,280375,
1995-08,255716,
1995-09,246499,
1995-10,343450,
1995-11,245807,
1995-12,325952,
1996-01,209865,
1996-02,225467,
1996-03,249753,
1996-04,253334,
1996-05,280437,
1996-06,257095,
1996-07,318834,
1996-08,245074,
1996-09,262800,
1996-10,282481,
1996-11,293453,
1996-12,269335,
1997-01,252614,
1997-02,248424,
1997-03,255614,
1997-04,297378,
1997-05,254770,
1997-06,330369,
1997-07,323664,
1997-08,316683,
1997-09,314788,
1997-10,314661,
1997-11,322639,
1997-12,325953,
1998-01,255374,
1998-02,314790,
1998-03,320395,
1998-04,297425,
1998-05,277307,
1998-06,323916,
1998-07,341100,
1998-08,284887,
1998-09,328890,
1998-10,337903,
1998-11,298435,
1998-12,295939,
1999-01,244621,
1999-02,266323,
1999-03,359791,
1999-04,297166,
1999-05,293850,
1999-06,306242,
1999-07,331365,
1999-08,275028,
1999-09,331185,
1999-10,364260,
1999-11,372125,
1999-12,322231,
2000-01,271576,
2000-02,314478,
2000-03,345696,
2000-04,293450,
2000-05,365521,
2000-06,344126,
2000-07,355039,
2000-08,396186,
2000-09,319016,
2000-10,356970,
2000-11,331755,
2000-12,298747,
2001-01,307302,
2001-02,327259,
2001-03,348292,
2001-04,332326,
2001-05,373987,
2001-06,356867,
2001-07,390810,
2001-08,371964,
2001-09,372918,
2001-10,465970,
2001-11,405412,
2001-12,370635,
2002-01,321268,
2002-02,349141,
2002-03,439938,
2002-04,368955,
2002-05,360034,
2002-06,435876,
2002-07,539424,
2002-08,412600,
2002-09,387980,
2002-10,580006,
2002-11,421498,
2002-12,409347,
2003-01,440293,
2003-02,404296,
2003-03,347139,
2003-04,393323,
2003-05,412725,
2003-06,400409,
2003-07,483734,
2003-08,411186,
2003-09,447156,
2003-10,448659,
2003-11,426960,
2003-12,392323,
2004-01,429601,
2004-02,417507,
2004-03,469139,
2004-04,442735,
2004-05,424221,
2004-06,449100,
2004-07,485127,
2004-08,447904,
2004-09,500580,
2004-10,473676,
2004-11,486189,
2004-12,487212,
2005-01,470320,
2005-02,456764,
2005-03,460769,
2005-04,475470,
2005-05,525735,
2005-06,479436,
2005-07,507611,
2005-08,517350,
2005-09,570154,
2005-10,474396,
2005-11,483670,
2005-12,508150,
2006-01,452453,
2006-02,490348,
2006-03,513892,
2006-04,455974,
2006-05,484112,
2006-06,462503,
2006-07,513887,
2006-08,536686,
2006-09,628441,
2006-10,603946,
2006-11,688293,
2006-12,546854,
2007-01,539254,
2007-02,523871,
2007-03,553446,
2007-04,502823,
2007-05,526755,
2007-06,726196,
2007-07,677053,
2007-08,658281,
2007-09,625856,
2007-10,680306,
2007-11,587855,
2007-12,502556,
2008-01,590021,
2008-02,613314,
2008-03,594435,
2008-04,642078,
2008-05,588912,
2008-06,641490,
2008-07,740411,
2008-08,627626,
2008-09,652685,
2008-10,663302,
2008-11,584048,
2008-12,656361,
2009-01,486636,
2009-02,545453,
2009-03,530816,
2009-04,519456,
2009-05,544673,
2009-06,689399,
2009-07,664390,
2009-08,574740,
2009-09,688232,
2009-10,597594,
2009-11,720511,
2009-12,585367,
2010-01,537191,
2010-02,713662,
2010-03,797492,
2010-04,695300,
2010-05,707316,
2010-06,725619,
2010-07,868427,
2010-08,822683,
2010-09,863502,
2010-10,724707,
2010-11,775572,
2010-12,740917,
2011-01,650876,
2011-02,686790,
2011-03,850347,
2011-04,779735,
2011-05,967273,
2011-06,795108,
2011-07,848457,
2011-08,746529,
2011-09,855787,
2011-10,770156,
2011-11,764901,
2011-12,762744,
2012-01,819335,
2012-02,893916,
2012-03,1006817,
2012-04,875803,
2012-05,884384,
2012-06,930931,
2012-07,954920,
2012-08,995479,
2012-09,843679,
2012-10,964596,
2012-11,832398,
2012-12,724379,
2013-01,752023,
2013-02,787371,
2013-03,913843,
2013-04,869899,
2013-05,798542,
2013-06,871653,
2013-07,879943,
2013-08,826650,
2013-09,871993,
2013-10,849163,
2013-11,821061,
2013-12,703396,
2014-01,676454,
2014-02,796931,
2014-03,849158,
2014-04,723060,
2014-05,738011,
2014-06,841646,
2014-07,909369,
2014-08,760278,
2014-09,853131,
2014-10,910364,
2014-11,803783,
2014-12,715352,
