"",BBSF2.M.1.S.I1313.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1313.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Local Government / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:35,
2009-09,379,
2009-10,378,
2009-11,380,
2009-12,380,
2010-01,377,
2010-02,441,
2010-03,463,
2010-04,459,
2010-05,479,
2010-06,479,
2010-07,409,
2010-08,421,
2010-09,421,
2010-10,420,
2010-11,418,
2010-12,420,
2011-01,417,
2011-02,419,
2011-03,415,
2011-04,418,
2011-05,420,
2011-06,420,
2011-07,420,
2011-08,421,
2011-09,473,
2011-10,514,
2011-11,499,
2011-12,498,
2012-01,515,
2012-02,518,
2012-03,519,
2012-04,517,
2012-05,522,
2012-06,521,
2012-07,530,
2012-08,530,
2012-09,532,
2012-10,530,
2012-11,533,
2012-12,533,
2013-01,541,
2013-02,542,
2013-03,640,
2013-04,647,
2013-05,647,
2013-06,637,
2013-07,639,
2013-08,658,
2013-09,668,
2013-10,677,
2013-11,682,
2013-12,703,
2014-01,705,
2014-02,712,
2014-03,728,
2014-04,732,
2014-05,739,
2014-06,743,
2014-07,749,
2014-08,1088,
2014-09,1092,
2014-10,1090,
2014-11,1098,
