"",BBK01.CEB803,BBK01.CEB803_FLAGS
"",Money market shares debtor: All sectors                   creditor:Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:11,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,0.0,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,0.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,0.0,
1994-01,0.0,
1994-04,0.0,
1994-07,0.1,
1994-10,0.3,
1995-01,0.3,
1995-04,0.1,
1995-07,0.1,
1995-10,0.1,
1996-01,0.2,
1996-04,0.3,
1996-07,0.3,
1996-10,0.5,
1997-01,0.5,
1997-04,0.5,
1997-07,0.9,
1997-10,1.1,
1998-01,1.0,
1998-04,1.1,
1998-07,1.0,
1998-10,1.1,
1999-01,0.1,
1999-04,0.2,
1999-07,0.2,
1999-10,0.1,
2000-01,0.2,
2000-04,0.2,
2000-07,0.2,
2000-10,0.2,
2001-01,0.3,
2001-04,0.8,
2001-07,0.8,
2001-10,2.5,
2002-01,3.6,
2002-04,3.8,
2002-07,4.0,
2002-10,3.8,
2003-01,2.9,
2003-04,1.6,
2003-07,1.7,
2003-10,1.4,
2004-01,1.6,
2004-04,1.6,
2004-07,1.3,
2004-10,1.2,
2005-01,2.0,
2005-04,1.8,
2005-07,2.1,
2005-10,1.6,
2006-01,1.7,
2006-04,1.8,
2006-07,1.8,
2006-10,2.7,
2007-01,3.1,
2007-04,5.0,
2007-07,7.9,
2007-10,7.5,
2008-01,7.2,
2008-04,6.1,
2008-07,5.5,
2008-10,4.9,
2009-01,3.4,
2009-04,2.9,
2009-07,2.7,
2009-10,2.7,
2010-01,2.9,
2010-04,2.8,
2010-07,2.0,
2010-10,1.4,
2011-01,1.5,
2011-04,1.5,
2011-07,1.4,
2011-10,1.3,
2012-01,1.3,
2012-04,1.3,
2012-07,1.3,
2012-10,1.3,
2013-01,1.2,
2013-04,0.9,
2013-07,0.9,
2013-10,0.2,
2014-01,0.2,
