"",BBK01.OEYI02U,BBK01.OEYI02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:46,
2002-01,0.096,
2002-04,0.087,
2002-07,0.106,
2002-10,0.108,
2003-01,0.111,
2003-04,0.096,
2003-07,0.081,
2003-10,0.065,
2004-01,0.068,
2004-04,0.045,
2004-07,0.066,
2004-10,0.059,
2005-01,0.052,
2005-04,0.052,
2005-07,0.046,
2005-10,0.056,
2006-01,0.051,
2006-04,0.056,
2006-07,0.036,
2006-10,0.049,
2007-01,0.086,
2007-04,0.072,
2007-07,0.083,
2007-10,0.070,
2008-01,0.069,
2008-04,0.066,
2008-07,0.067,
2008-10,0.095,
2009-01,0.080,
2009-04,0.075,
2009-07,0.060,
2009-10,0.079,
2010-01,0.064,
2010-04,0.068,
2010-07,0.081,
2010-10,0.120,
2011-01,0.088,
2011-04,0.094,
2011-07,0.097,
2011-10,0.123,
2012-01,0.106,
2012-04,0.135,
2012-07,0.140,
2012-10,0.111,
2013-01,0.128,
2013-04,0.130,
2013-07,0.106,
2013-10,0.127,
2014-01,0.138,
2014-04,0.124,
2014-07,0.105,
