"",BBK01.OEAA45R,BBK01.OEAA45R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:50,
2002-01,2.297,
2002-04,2.284,
2002-07,2.312,
2002-10,2.448,
2003-01,2.615,
2003-04,2.552,
2003-07,2.551,
2003-10,2.403,
2004-01,2.614,
2004-04,2.617,
2004-07,2.614,
2004-10,2.620,
2005-01,2.677,
2005-04,2.663,
2005-07,2.655,
2005-10,2.611,
2006-01,2.550,
2006-04,2.500,
2006-07,2.501,
2006-10,2.452,
2007-01,1.967,
2007-04,1.938,
2007-07,1.921,
2007-10,1.888,
2008-01,1.875,
2008-04,1.841,
2008-07,2.083,
2008-10,1.987,
2009-01,1.965,
2009-04,1.972,
2009-07,1.982,
2009-10,1.951,
2010-01,2.121,
2010-04,2.160,
2010-07,2.127,
2010-10,2.276,
2011-01,2.274,
2011-04,2.253,
2011-07,2.267,
2011-10,2.341,
2012-01,2.320,
2012-04,2.335,
2012-07,2.325,
2012-10,2.334,
2013-01,2.354,
2013-04,2.336,
2013-07,2.502,
2013-10,2.488,
2014-01,2.500,
2014-04,2.475,
2014-07,2.477,
