"",BBK01.OEAL07V,BBK01.OEAL07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:38,
2002-01,22.882,
2002-04,22.125,
2002-07,22.132,
2002-10,22.824,
2003-01,22.876,
2003-04,22.597,
2003-07,22.555,
2003-10,22.984,
2004-01,22.853,
2004-04,22.777,
2004-07,22.756,
2004-10,23.296,
2005-01,24.811,
2005-04,24.629,
2005-07,24.395,
2005-10,24.660,
2006-01,24.557,
2006-04,24.281,
2006-07,23.936,
2006-10,24.166,
2007-01,24.089,
2007-04,23.711,
2007-07,23.514,
2007-10,23.849,
2008-01,23.567,
2008-04,23.168,
2008-07,22.802,
2008-10,23.585,
2009-01,23.706,
2009-04,23.703,
2009-07,23.675,
2009-10,24.001,
2010-01,23.966,
2010-04,23.884,
2010-07,23.922,
2010-10,24.284,
2011-01,24.297,
2011-04,24.176,
2011-07,24.143,
2011-10,24.339,
2012-01,24.493,
2012-04,24.430,
2012-07,24.545,
2012-10,24.742,
2013-01,24.645,
2013-04,24.415,
2013-07,24.268,
2013-10,24.398,
2014-01,24.357,
2014-04,24.288,
2014-07,24.409,
