"",BBK01.OEYB19Q,BBK01.OEYB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:12,
2002-01,0.814,
2002-04,0.797,
2002-07,0.777,
2002-10,0.763,
2003-01,0.751,
2003-04,0.745,
2003-07,0.730,
2003-10,0.721,
2004-01,0.615,
2004-04,0.207,
2004-07,0.195,
2004-10,0.179,
2005-01,0.159,
2005-04,0.150,
2005-07,0.122,
2005-10,0.040,
2006-01,0.045,
2006-04,0.051,
2006-07,0.041,
2006-10,0.038,
2007-01,0.051,
2007-04,0.047,
2007-07,0.038,
2007-10,0.033,
2008-01,0.028,
2008-04,0.029,
2008-07,0.036,
2008-10,0.034,
2009-01,0.031,
2009-04,0.032,
2009-07,0.031,
2009-10,0.050,
2010-01,0.049,
2010-04,0.078,
2010-07,0.066,
2010-10,0.074,
2011-01,0.094,
2011-04,0.096,
2011-07,0.082,
2011-10,0.100,
2012-01,0.103,
2012-04,0.108,
2012-07,0.101,
2012-10,0.106,
2013-01,0.128,
2013-04,0.106,
2013-07,0.090,
2013-10,0.113,
2014-01,0.115,
2014-04,0.175,
2014-07,0.200,
