"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:37,
2009-09,1546,
2009-10,1430,
2009-11,1543,
2009-12,1658,
2010-01,1808,
2010-02,1905,
2010-03,2033,
2010-04,1933,
2010-05,1896,
2010-06,1885,
2010-07,1900,
2010-08,1947,
2010-09,2013,
2010-10,1978,
2010-11,1976,
2010-12,2114,
2011-01,2092,
2011-02,2173,
2011-03,2091,
2011-04,2151,
2011-05,2094,
2011-06,1792,
2011-07,1706,
2011-08,1667,
2011-09,1621,
2011-10,1626,
2011-11,1556,
2011-12,1517,
2012-01,1598,
2012-02,1684,
2012-03,1732,
2012-04,1748,
2012-05,1638,
2012-06,1602,
2012-07,1657,
2012-08,1656,
2012-09,1709,
2012-10,1679,
2012-11,1724,
2012-12,1724,
2013-01,1748,
2013-02,1878,
2013-03,1801,
2013-04,1744,
2013-05,1731,
2013-06,1666,
2013-07,1700,
2013-08,1748,
2013-09,1773,
2013-10,1803,
2013-11,1824,
2013-12,1828,
2014-01,1862,
2014-02,1955,
2014-03,1942,
2014-04,1922,
2014-05,1976,
2014-06,2009,
2014-07,1998,
2014-08,2039,
2014-09,2120,
2014-10,2143,
2014-11,2202,
