"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
1998-01,42.940,
1998-02,45.244,
1998-03,45.909,
1998-04,46.696,
1998-05,47.099,
1998-06,48.464,
1998-07,50.159,
1998-08,50.546,
1998-09,50.751,
1998-10,52.739,
1998-11,52.453,
1998-12,57.431,
1999-01,58.513,
1999-02,58.863,
1999-03,59.245,
1999-04,59.446,
1999-05,63.909,
1999-06,65.628,
1999-07,68.722,
1999-08,70.616,
1999-09,72.770,
1999-10,77.397,
1999-11,78.746,
1999-12,80.108,
2000-01,85.423,
2000-02,86.869,
2000-03,87.026,
2000-04,87.644,
2000-05,89.413,
2000-06,91.978,
2000-07,107.727,
2000-08,107.646,
2000-09,109.091,
2000-10,109.050,
2000-11,111.170,
2000-12,152.045,
2001-01,156.269,
2001-02,157.010,
2001-03,158.393,
2001-04,159.528,
2001-05,161.690,
2001-06,163.519,
2001-07,172.060,
2001-08,178.988,
2001-09,183.484,
2001-10,185.290,
2001-11,188.523,
2001-12,189.964,
2002-01,201.741,
2002-02,204.780,
2002-03,195.477,
2002-04,207.546,
2002-05,228.636,
2002-06,224.578,
2002-07,226.188,
2002-08,228.190,
2002-09,230.790,
2002-10,233.733,
2002-11,238.890,
2002-12,241.675,
2003-01,240.306,
2003-02,243.100,
2003-03,245.448,
2003-04,249.381,
2003-05,249.990,
2003-06,252.995,
2003-07,254.391,
2003-08,256.646,
2003-09,257.560,
2003-10,256.592,
2003-11,257.273,
2003-12,240.134,
2004-01,237.789,
2004-02,213.632,
2004-03,212.543,
2004-04,215.790,
2004-05,218.575,
2004-06,221.897,
2004-07,220.811,
2004-08,220.241,
2004-09,217.845,
2004-10,214.072,
2004-11,208.780,
2004-12,205.714,
2005-01,209.625,
2005-02,212.157,
2005-03,211.682,
2005-04,211.827,
2005-05,213.416,
2005-06,210.809,
2005-07,205.767,
2005-08,205.358,
2005-09,205.049,
2005-10,208.179,
2005-11,210.671,
2005-12,209.203,
2006-01,212.886,
2006-02,215.119,
2006-03,219.683,
2006-04,219.263,
2006-05,218.942,
2006-06,221.143,
2006-07,221.945,
2006-08,220.061,
2006-09,218.242,
2006-10,218.093,
2006-11,220.211,
2006-12,218.057,
2007-01,218.588,
2007-02,216.235,
2007-03,215.498,
2007-04,216.284,
2007-05,213.712,
2007-06,213.007,
2007-07,212.733,
2007-08,213.526,
2007-09,211.814,
2007-10,213.382,
2007-11,210.286,
2007-12,201.818,
2008-01,205.610,
2008-02,205.467,
2008-03,205.208,
2008-04,210.004,
2008-05,214.346,
2008-06,211.093,
2008-07,212.356,
2008-08,214.118,
2008-09,221.240,
2008-10,225.726,
2008-11,229.067,
2008-12,225.412,
2009-01,234.024,
2009-02,244.085,
2009-03,244.201,
2009-04,246.728,
2009-05,251.004,
2009-06,251.576,
2009-07,256.594,
2009-08,257.404,
2009-09,254.378,
2009-10,256.112,
2009-11,256.335,
2009-12,258.489,
2010-01,261.395,
2010-02,262.626,
2010-03,267.662,
2010-04,269.938,
2010-05,273.460,
2010-06,275.260,
2010-07,277.787,
2010-08,279.446,
2010-09,279.332,
2010-10,279.146,
2010-11,281.434,
2010-12,289.715,
2011-01,290.781,
2011-02,290.695,
2011-03,295.827,
2011-04,298.813,
2011-05,302.213,
2011-06,302.141,
2011-07,304.954,
2011-08,305.618,
2011-09,305.672,
2011-10,305.595,
2011-11,300.828,
2011-12,300.858,
2012-01,302.836,
2012-02,304.391,
2012-03,308.814,
2012-04,313.590,
2012-05,315.954,
2012-06,320.461,
2012-07,320.076,
2012-08,323.539,
2012-09,324.447,
2012-10,320.773,
2012-11,324.630,
2012-12,323.298,
2013-01,327.941,
2013-02,326.497,
2013-03,331.214,
2013-04,346.331,
2013-05,347.561,
2013-06,347.343,
2013-07,345.208,
2013-08,346.958,
2013-09,350.561,
2013-10,360.630,
2013-11,357.992,
2013-12,360.240,
2014-01,358.683,
2014-02,361.229,
2014-03,365.636,
2014-04,365.760,
2014-05,369.447,
2014-06,373.841,
2014-07,373.724,
2014-08,373.367,
2014-09,371.233,
2014-10,372.141,
2014-11,373.644,
2014-12,370.163,
