"",BBK01.OEAB24S,BBK01.OEAB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:37,
2002-01,3.078,
2002-04,3.044,
2002-07,3.081,
2002-10,3.228,
2003-01,3.274,
2003-04,3.316,
2003-07,3.354,
2003-10,3.566,
2004-01,3.518,
2004-04,3.553,
2004-07,3.650,
2004-10,4.185,
2005-01,4.316,
2005-04,4.344,
2005-07,4.368,
2005-10,4.323,
2006-01,4.337,
2006-04,4.339,
2006-07,4.392,
2006-10,4.350,
2007-01,4.417,
2007-04,4.500,
2007-07,4.577,
2007-10,4.430,
2008-01,4.490,
2008-04,4.661,
2008-07,4.791,
2008-10,4.698,
2009-01,4.729,
2009-04,4.784,
2009-07,4.796,
2009-10,4.624,
2010-01,4.787,
2010-04,5.098,
2010-07,5.132,
2010-10,5.064,
2011-01,5.164,
2011-04,5.248,
2011-07,5.297,
2011-10,5.326,
2012-01,5.309,
2012-04,5.313,
2012-07,5.334,
2012-10,5.375,
2013-01,5.293,
2013-04,5.216,
2013-07,5.198,
2013-10,5.103,
2014-01,5.032,
2014-04,4.978,
2014-07,4.989,
