"",BBK01.OEYI03V,BBK01.OEYI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:52,
2002-01,6.036,
2002-04,6.229,
2002-07,6.564,
2002-10,7.243,
2003-01,6.668,
2003-04,6.879,
2003-07,6.372,
2003-10,6.872,
2004-01,7.226,
2004-04,7.892,
2004-07,7.920,
2004-10,8.429,
2005-01,7.885,
2005-04,8.446,
2005-07,8.432,
2005-10,8.126,
2006-01,8.150,
2006-04,7.799,
2006-07,8.078,
2006-10,8.044,
2007-01,8.065,
2007-04,8.138,
2007-07,7.864,
2007-10,8.423,
2008-01,8.002,
2008-04,2.587,
2008-07,2.625,
2008-10,2.693,
2009-01,2.628,
2009-04,1.182,
2009-07,1.096,
2009-10,2.897,
2010-01,3.010,
2010-04,2.935,
2010-07,2.349,
2010-10,2.338,
2011-01,2.282,
2011-04,2.149,
2011-07,2.966,
2011-10,2.884,
2012-01,2.846,
2012-04,2.853,
2012-07,3.140,
2012-10,2.886,
2013-01,3.031,
2013-04,2.210,
2013-07,2.590,
2013-10,2.334,
2014-01,2.272,
2014-04,2.492,
2014-07,2.476,
