"",BBSF2.M.1.T.00000.DHE01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:53,
2009-09,221,
2009-10,229,
2009-11,242,
2009-12,246,
2010-01,243,
2010-02,234,
2010-03,227,
2010-04,214,
2010-05,205,
2010-06,201,
2010-07,193,
2010-08,190,
2010-09,194,
2010-10,182,
2010-11,191,
2010-12,196,
2011-01,161,
2011-02,155,
2011-03,153,
2011-04,140,
2011-05,134,
2011-06,137,
2011-07,135,
2011-08,133,
2011-09,126,
2011-10,116,
2011-11,117,
2011-12,117,
2012-01,115,
2012-02,111,
2012-03,105,
2012-04,103,
2012-05,102,
2012-06,102,
2012-07,101,
2012-08,96,
2012-09,96,
2012-10,93,
2012-11,89,
2012-12,85,
2013-01,83,
2013-02,73,
2013-03,46,
2013-04,45,
2013-05,43,
2013-06,42,
2013-07,41,
2013-08,38,
2013-09,35,
2013-10,35,
2013-11,36,
2013-12,35,
2014-01,35,
2014-02,34,
2014-03,34,
2014-04,23,
2014-05,24,
2014-06,24,
2014-07,24,
2014-08,24,
2014-09,26,
2014-10,25,
2014-11,26,
