"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:12,
2009-09,1550,
2009-10,1553,
2009-11,1544,
2009-12,1656,
2010-01,1685,
2010-02,1714,
2010-03,1819,
2010-04,1745,
2010-05,1776,
2010-06,1781,
2010-07,1879,
2010-08,1864,
2010-09,2002,
2010-10,2069,
2010-11,2015,
2010-12,2085,
2011-01,2057,
2011-02,2054,
2011-03,2048,
2011-04,2152,
2011-05,2102,
2011-06,2004,
2011-07,1968,
2011-08,1832,
2011-09,1742,
2011-10,1753,
2011-11,1782,
2011-12,1839,
2012-01,1831,
2012-02,1934,
2012-03,2036,
2012-04,1943,
2012-05,1980,
2012-06,2150,
2012-07,2301,
2012-08,2323,
2012-09,2363,
2012-10,2380,
2012-11,2472,
2012-12,2481,
2013-01,2568,
2013-02,2734,
2013-03,2789,
2013-04,2672,
2013-05,2731,
2013-06,2698,
2013-07,2844,
2013-08,2868,
2013-09,2922,
2013-10,3032,
2013-11,2999,
2013-12,2991,
2014-01,2862,
2014-02,3055,
2014-03,3079,
2014-04,3200,
2014-05,3357,
2014-06,3460,
2014-07,3477,
2014-08,3587,
2014-09,3624,
2014-10,3582,
2014-11,3819,
