"",BBFN1.M.DE.N.1.L.U2.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:11,
1995-01,23.932,
1995-02,23.873,
1995-03,23.902,
1995-04,24.204,
1995-05,24.325,
1995-06,24.344,
1995-07,25.359,
1995-08,25.275,
1995-09,25.385,
1995-10,25.550,
1995-11,25.632,
1995-12,24.931,
1996-01,24.856,
1996-02,24.861,
1996-03,24.449,
1996-04,24.608,
1996-05,24.646,
1996-06,24.314,
1996-07,24.552,
1996-08,24.765,
1996-09,25.261,
1996-10,25.468,
1996-11,25.499,
1996-12,24.643,
1997-01,25.312,
1997-02,25.804,
1997-03,25.972,
1997-04,26.188,
1997-05,26.003,
1997-06,25.922,
1997-07,26.802,
1997-08,27.276,
1997-09,28.142,
1997-10,28.080,
1997-11,27.984,
1997-12,27.994,
1998-01,28.527,
1998-02,30.076,
1998-03,30.495,
1998-04,31.272,
1998-05,32.064,
1998-06,34.030,
1998-07,35.880,
1998-08,36.080,
1998-09,36.783,
1998-10,38.504,
1998-11,37.156,
1998-12,39.667,
1999-01,39.964,
1999-02,40.062,
1999-03,39.944,
1999-04,39.841,
1999-05,44.113,
1999-06,45.194,
1999-07,50.251,
1999-08,51.249,
1999-09,53.928,
1999-10,56.657,
1999-11,57.697,
1999-12,60.007,
2000-01,65.652,
2000-02,64.833,
2000-03,64.813,
2000-04,61.196,
2000-05,61.795,
2000-06,63.373,
2000-07,79.415,
2000-08,79.284,
2000-09,81.661,
2000-10,81.885,
2000-11,79.828,
2000-12,120.697,
2001-01,123.335,
2001-02,125.743,
2001-03,126.910,
2001-04,127.332,
2001-05,131.577,
2001-06,133.059,
2001-07,142.856,
2001-08,144.764,
2001-09,148.812,
2001-10,149.871,
2001-11,153.171,
2001-12,154.122,
2002-01,167.333,
2002-02,169.043,
2002-03,162.960,
2002-04,170.975,
2002-05,190.424,
2002-06,186.172,
2002-07,188.934,
2002-08,189.540,
2002-09,191.580,
2002-10,194.221,
2002-11,196.314,
2002-12,196.989,
2003-01,195.982,
2003-02,198.674,
2003-03,194.029,
2003-04,197.827,
2003-05,198.925,
2003-06,202.913,
2003-07,202.455,
2003-08,205.603,
2003-09,206.269,
2003-10,206.330,
2003-11,206.932,
2003-12,197.785,
2004-01,195.852,
2004-02,171.996,
2004-03,169.941,
2004-04,170.486,
2004-05,175.690,
2004-06,181.065,
2004-07,180.227,
2004-08,179.647,
2004-09,177.293,
2004-10,172.778,
2004-11,169.342,
2004-12,168.552,
2005-01,172.306,
2005-02,175.583,
2005-03,175.015,
2005-04,174.796,
2005-05,177.344,
2005-06,175.934,
2005-07,172.264,
2005-08,172.116,
2005-09,171.906,
2005-10,177.853,
2005-11,179.710,
2005-12,181.836,
2006-01,186.457,
2006-02,189.321,
2006-03,193.039,
2006-04,194.887,
2006-05,195.237,
2006-06,196.898,
2006-07,197.171,
2006-08,197.769,
2006-09,197.767,
2006-10,198.845,
2006-11,200.210,
2006-12,194.523,
2007-01,194.868,
2007-02,192.865,
2007-03,193.059,
2007-04,195.208,
2007-05,193.855,
2007-06,194.283,
2007-07,193.958,
2007-08,197.438,
2007-09,197.136,
2007-10,199.755,
2007-11,197.203,
2007-12,194.453,
2008-01,197.196,
2008-02,200.281,
2008-03,203.469,
2008-04,208.767,
2008-05,213.226,
2008-06,210.209,
2008-07,211.174,
2008-08,212.787,
2008-09,218.069,
2008-10,222.516,
2008-11,226.821,
2008-12,231.038,
2009-01,240.508,
2009-02,252.302,
2009-03,251.253,
2009-04,253.870,
2009-05,257.789,
2009-06,260.887,
2009-07,266.154,
2009-08,270.651,
2009-09,268.498,
2009-10,268.161,
2009-11,268.849,
2009-12,274.096,
2010-01,270.502,
2010-02,270.930,
2010-03,274.426,
2010-04,276.641,
2010-05,276.624,
2010-06,274.508,
2010-07,280.369,
2010-08,280.018,
2010-09,279.665,
2010-10,277.684,
2010-11,276.843,
2010-12,287.153,
2011-01,285.161,
2011-02,283.945,
2011-03,288.239,
2011-04,288.061,
2011-05,291.014,
2011-06,289.223,
2011-07,291.975,
2011-08,292.166,
2011-09,291.097,
2011-10,291.939,
2011-11,287.431,
2011-12,287.983,
2012-01,290.376,
2012-02,290.899,
2012-03,291.525,
2012-04,295.393,
2012-05,298.153,
2012-06,301.384,
2012-07,301.030,
2012-08,305.961,
2012-09,304.321,
2012-10,305.788,
2012-11,308.803,
2012-12,307.891,
2013-01,309.852,
2013-02,308.275,
2013-03,315.392,
2013-04,327.154,
2013-05,325.142,
2013-06,325.224,
2013-07,324.029,
2013-08,323.891,
2013-09,327.348,
2013-10,339.232,
2013-11,334.186,
2013-12,330.766,
2014-01,329.432,
2014-02,329.848,
2014-03,333.532,
2014-04,332.983,
2014-05,335.963,
2014-06,339.509,
2014-07,339.275,
2014-08,339.284,
2014-09,337.720,
2014-10,338.782,
2014-11,340.577,
2014-12,340.919,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
