"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:08,
1991-01,214.292,
1991-04,148.181,
1991-07,461.481,
1991-10,517.894,
1992-01,146.360,
1992-04,140.802,
1992-07,263.316,
1992-10,793.383,
1993-01,518.481,
1993-04,612.135,
1993-07,432.725,
1993-10,444.438,
1994-01,130.652,
1994-04,19.053,
1994-07,258.110,
1994-10,422.195,
1995-01,2306.405,
1995-04,-43.803,
1995-07,298.340,
1995-10,59.887,
1996-01,1596.059,
1996-04,-546.492,
1996-07,-347.213,
1996-10,295.939,
1997-01,631.384,
1997-04,274.542,
1997-07,672.818,
1997-10,1454.017,
1998-01,1139.632,
1998-04,-388.040,
1998-07,1492.322,
1998-10,1924.886,
1999-01,8767.052,
1999-04,10383.631,
1999-07,2667.666,
1999-10,-16.156,
2000-01,896.899,
2000-04,1529.814,
2000-07,6855.878,
2000-10,5321.155,
2001-01,-9141.178,
2001-04,120.759,
2001-07,-386.782,
2001-10,2868.400,
2002-01,2755.665,
2002-04,-2477.568,
2002-07,2608.618,
2002-10,7850.452,
2003-01,-1381.214,
2003-04,1941.742,
2003-07,1206.401,
2003-10,4857.192,
2004-01,1664.784,
2004-04,1144.415,
2004-07,577.462,
2004-10,1108.666,
2005-01,2255.831,
2005-04,-1383.069,
2005-07,234.928,
2005-10,247.269,
2006-01,4999.971,
2006-04,4396.875,
2006-07,5748.961,
2006-10,6531.057,
2007-01,5626.780,
2007-04,-1756.842,
2007-07,16229.787,
2007-10,-4765.425,
2008-01,5755.029,
2008-04,1162.225,
2008-07,-1680.148,
2008-10,17361.296,
2009-01,7777.695,
2009-04,-1290.360,
2009-07,5871.825,
2009-10,5706.739,
2010-01,5429.581,
2010-04,6903.257,
2010-07,-286.146,
2010-10,9751.009,
2011-01,6924.975,
2011-04,11416.563,
2011-07,8529.679,
2011-10,4186.567,
2012-01,6597.624,
2012-04,11384.739,
2012-07,7275.360,
2012-10,3023.204,
2013-01,6911.677,
2013-04,1438.777,
2013-07,3266.423,
2013-10,-3459.148,
2014-01,4609.153,Provisional value
2014-04,571.630,Provisional value
2014-07,5335.398,Provisional value
2014-10,5005.259,Provisional value
