"",BBFN1.M.DE.N.1.A.CN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:58,
1994-12,0.991,
1995-01,0.991,
1995-02,0.990,
1995-03,0.988,
1995-04,1.010,
1995-05,1.101,
1995-06,1.150,
1995-07,1.183,
1995-08,1.229,
1995-09,1.264,
1995-10,1.320,
1995-11,1.363,
1995-12,1.416,
1996-01,1.414,
1996-02,1.451,
1996-03,1.466,
1996-04,1.599,
1996-05,1.446,
1996-06,1.525,
1996-07,1.575,
1996-08,1.580,
1996-09,1.454,
1996-10,1.642,
1996-11,1.701,
1996-12,1.720,
1997-01,1.655,
1997-02,1.621,
1997-03,1.624,
1997-04,1.627,
1997-05,1.671,
1997-06,1.709,
1997-07,1.777,
1997-08,1.905,
1997-09,1.898,
1997-10,1.948,
1997-11,2.051,
1997-12,2.067,
1998-01,2.067,
1998-02,2.246,
1998-03,2.097,
1998-04,2.110,
1998-05,2.202,
1998-06,2.284,
1998-07,2.284,
1998-08,2.302,
1998-09,2.299,
1998-10,2.298,
1998-11,2.365,
1998-12,2.333,
1999-01,2.279,
1999-02,2.342,
1999-03,2.329,
1999-04,2.030,
1999-05,2.559,
1999-06,2.574,
1999-07,2.539,
1999-08,2.530,
1999-09,2.559,
1999-10,2.670,
1999-11,2.610,
1999-12,2.656,
2000-01,2.651,
2000-02,2.562,
2000-03,2.686,
2000-04,2.684,
2000-05,2.763,
2000-06,2.903,
2000-07,2.825,
2000-08,2.884,
2000-09,2.933,
2000-10,3.090,
2000-11,3.273,
2000-12,3.406,
2001-01,3.508,
2001-02,3.549,
2001-03,3.461,
2001-04,3.636,
2001-05,3.524,
2001-06,3.882,
2001-07,3.632,
2001-08,3.650,
2001-09,3.840,
2001-10,3.782,
2001-11,3.648,
2001-12,3.583,
2002-01,3.121,
2002-02,3.330,
2002-03,3.511,
2002-04,3.524,
2002-05,3.671,
2002-06,3.784,
2002-07,3.833,
2002-08,3.749,
2002-09,3.718,
2002-10,3.655,
2002-11,3.769,
2002-12,3.957,
2003-01,3.969,
2003-02,3.872,
2003-03,3.877,
2003-04,4.101,
2003-05,4.150,
2003-06,4.193,
2003-07,4.304,
2003-08,4.378,
2003-09,4.284,
2003-10,4.576,
2003-11,4.910,
2003-12,4.974,
2004-01,4.579,
2004-02,4.515,
2004-03,4.554,
2004-04,4.813,
2004-05,5.121,
2004-06,5.172,
2004-07,5.212,
2004-08,5.076,
2004-09,4.886,
2004-10,5.030,
2004-11,4.984,
2004-12,4.848,
2005-01,4.797,
2005-02,5.080,
2005-03,5.168,
2005-04,5.225,
2005-05,5.638,
2005-06,5.890,
2005-07,5.962,
2005-08,6.038,
2005-09,6.036,
2005-10,6.390,
2005-11,6.557,
2005-12,6.435,
2006-01,6.296,
2006-02,6.568,
2006-03,6.516,
2006-04,6.872,
2006-05,7.136,
2006-06,7.442,
2006-07,7.611,
2006-08,7.333,
2006-09,7.466,
2006-10,7.486,
2006-11,7.607,
2006-12,7.552,
2007-01,7.403,
2007-02,7.705,
2007-03,7.848,
2007-04,7.926,
2007-05,8.005,
2007-06,8.255,
2007-07,8.412,
2007-08,8.380,
2007-09,8.644,
2007-10,8.840,
2007-11,9.075,
2007-12,9.211,
2008-01,9.016,
2008-02,9.364,
2008-03,9.565,
2008-04,9.918,
2008-05,10.009,
2008-06,10.027,
2008-07,10.257,
2008-08,9.858,
2008-09,9.561,
2008-10,9.898,
2008-11,10.484,
2008-12,9.905,
2009-01,9.773,
2009-02,9.764,
2009-03,9.627,
2009-04,9.689,
2009-05,10.086,
2009-06,10.268,
2009-07,10.602,
2009-08,10.734,
2009-09,10.997,
2009-10,11.303,
2009-11,11.622,
2009-12,11.412,
2010-01,11.584,
2010-02,12.161,
2010-03,12.733,
2010-04,13.651,
2010-05,13.645,
2010-06,14.502,
2010-07,13.535,
2010-08,13.197,
2010-09,13.180,
2010-10,14.069,
2010-11,14.738,
2010-12,14.652,
2011-01,14.319,
2011-02,14.846,
2011-03,15.179,
2011-04,15.658,
2011-05,16.004,
2011-06,15.918,
2011-07,16.387,
2011-08,16.363,
2011-09,16.918,
2011-10,17.163,
2011-11,17.746,
2011-12,17.712,
2012-01,17.784,
2012-02,17.785,
2012-03,18.568,
2012-04,19.793,
2012-05,19.360,
2012-06,19.241,
2012-07,19.508,
2012-08,19.006,
2012-09,18.606,
2012-10,18.287,
2012-11,18.235,
2012-12,17.647,
2013-01,16.976,
2013-02,17.593,
2013-03,18.299,
2013-04,19.587,
2013-05,19.123,
2013-06,18.998,
2013-07,18.372,
2013-08,18.585,
2013-09,18.643,
2013-10,18.617,
2013-11,19.182,
2013-12,19.202,
2014-01,18.843,
2014-02,19.375,
2014-03,19.537,
2014-04,22.074,
2014-05,20.874,
2014-06,21.082,
2014-07,21.650,
2014-08,21.782,
2014-09,21.725,
2014-10,22.142,
2014-11,22.772,
2014-12,22.666,
"",General: Excluding Hong Kong.,
