"",BBDE1.M.DE.Y.BAA1.A2P200000.G.C.I10.L,BBDE1.M.DE.Y.BAA1.A2P200000.G.C.I10.L_FLAGS
"",Output in the production sector / At constant prices / Germany / Mining and manufacturing sector (B + C) / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:30:44,
1952-01,17.5,
1952-02,17.7,
1952-03,16.6,
1952-04,16.7,
1952-05,17.1,
1952-06,16.2,
1952-07,17.1,
1952-08,17.6,
1952-09,17.7,
1952-10,18.0,
1952-11,17.7,
1952-12,17.6,
1953-01,18.1,
1953-02,17.8,
1953-03,18.4,
1953-04,18.7,
1953-05,17.5,
1953-06,19.5,
1953-07,19.3,
1953-08,19.4,
1953-09,19.6,
1953-10,19.8,
1953-11,19.9,
1953-12,20.2,
1954-01,19.2,
1954-02,19.9,
1954-03,20.7,
1954-04,20.5,
1954-05,20.6,
1954-06,20.9,
1954-07,21.5,
1954-08,21.4,
1954-09,21.9,
1954-10,21.4,
1954-11,22.7,
1954-12,23.6,
1955-01,22.5,
1955-02,23.3,
1955-03,24.1,
1955-04,23.6,
1955-05,24.1,
1955-06,24.5,
1955-07,24.2,
1955-08,25.4,
1955-09,25.3,
1955-10,24.4,
1955-11,25.7,
1955-12,26.6,
1956-01,26.3,
1956-02,26.1,
1956-03,25.4,
1956-04,26.4,
1956-05,25.9,
1956-06,27.8,
1956-07,26.3,
1956-08,27.1,
1956-09,26.0,
1956-10,26.5,
1956-11,27.1,
1956-12,25.4,
1957-01,27.9,
1957-02,28.0,
1957-03,27.1,
1957-04,28.1,
1957-05,29.1,
1957-06,25.9,
1957-07,28.0,
1957-08,28.3,
1957-09,27.1,
1957-10,28.2,
1957-11,28.3,
1957-12,27.2,
1958-01,29.1,
1958-02,28.5,
1958-03,28.1,
1958-04,28.7,
1958-05,27.9,
1958-06,27.8,
1958-07,29.3,
1958-08,28.5,
1958-09,28.9,
1958-10,29.3,
1958-11,28.1,
1958-12,29.0,
1959-01,28.7,
1959-02,29.0,
1959-03,27.9,
1959-04,32.0,
1959-05,28.3,
1959-06,31.6,
1959-07,31.4,
1959-08,30.9,
1959-09,31.9,
1959-10,32.2,
1959-11,32.1,
1959-12,33.6,
1960-01,31.6,
1960-02,34.3,
1960-03,34.8,
1960-04,33.1,
1960-05,35.2,
1960-06,33.6,
1960-07,34.1,
1960-08,35.2,
1960-09,35.3,
1960-10,33.8,
1960-11,35.8,
1960-12,37.4,
1961-01,36.4,
1961-02,36.7,
1961-03,37.9,
1961-04,35.6,
1961-05,36.3,
1961-06,37.5,
1961-07,36.0,
1961-08,37.2,
1961-09,36.1,
1961-10,36.0,
1961-11,36.9,
1961-12,35.9,
1962-01,37.6,
1962-02,37.2,
1962-03,37.5,
1962-04,36.7,
1962-05,37.9,
1962-06,37.6,
1962-07,37.9,
1962-08,39.4,
1962-09,38.8,
1962-10,38.1,
1962-11,38.7,
1962-12,37.5,
1963-01,37.7,
1963-02,37.2,
1963-03,38.5,
1963-04,38.9,
1963-05,39.0,
1963-06,38.6,
1963-07,39.4,
1963-08,40.6,
1963-09,39.7,
1963-10,40.3,
1963-11,40.6,
1963-12,39.1,
1964-01,41.2,
1964-02,41.7,
1964-03,41.4,
1964-04,41.8,
1964-05,41.3,
1964-06,42.1,
1964-07,43.1,
1964-08,42.5,
1964-09,42.8,
1964-10,43.3,
1964-11,43.2,
1964-12,43.6,
1965-01,44.6,
1965-02,44.2,
1965-03,44.4,
1965-04,44.4,
1965-05,44.4,
1965-06,43.9,
1965-07,44.2,
1965-08,44.8,
1965-09,45.3,
1965-10,44.9,
1965-11,44.4,
1965-12,45.8,
1966-01,45.1,
