"",BBK01.OUE352,BBK01.OUE352_FLAGS
"",Loans to the federal states / Total / Branches of foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:56:28,
1999-01,0.128,
1999-02,0.131,
1999-03,0.080,
1999-04,0.213,
1999-05,0.035,
1999-06,0.078,
1999-07,0.086,
1999-08,0.145,
1999-09,0.169,
1999-10,0.292,
1999-11,0.322,
1999-12,0.526,
2000-01,0.254,
2000-02,0.156,
2000-03,0.267,
2000-04,0.398,
2000-05,0.267,
2000-06,0.210,
2000-07,0.177,
2000-08,0.165,
2000-09,0.199,
2000-10,0.248,
2000-11,0.187,
2000-12,0.230,
2001-01,0.800,
2001-02,0.253,
2001-03,0.284,
2001-04,0.177,
2001-05,0.124,
2001-06,0.110,
2001-07,0.110,
2001-08,0.094,
2001-09,0.088,
2001-10,0.084,
2001-11,0.098,
2001-12,0.086,
2002-01,0.048,
2002-02,0.068,
2002-03,0.209,
2002-04,0.126,
2002-05,0.154,
2002-06,0.180,
2002-07,0.317,
2002-08,0.358,
2002-09,0.394,
2002-10,0.378,
2002-11,0.250,
2002-12,0.354,
2003-01,0.277,
2003-02,0.250,
2003-03,0.247,
2003-04,0.200,
2003-05,0.142,
2003-06,0.111,
2003-07,0.118,
2003-08,0.091,
2003-09,0.054,
2003-10,0.117,
2003-11,0.126,
2003-12,0.170,
2004-01,0.111,
2004-02,0.118,
2004-03,0.074,
2004-04,0.061,
2004-05,0.045,
2004-06,0.022,
2004-07,0.068,
2004-08,0.059,
2004-09,0.386,
2004-10,0.022,
2004-11,0.025,
2004-12,0.040,
2005-01,0.048,
2005-02,0.040,
2005-03,0.033,
2005-04,0.017,
2005-05,0.018,
2005-06,0.033,
2005-07,0.052,
2005-08,0.097,
2005-09,0.015,
2005-10,0.012,
2005-11,0.025,
2005-12,0.045,
2006-01,0.023,
2006-02,0.056,
2006-03,0.069,
2006-04,0.056,
2006-05,0.054,
2006-06,0.005,
2006-07,0.020,
2006-08,0.081,
2006-09,0.037,
2006-10,0.019,
2006-11,0.040,
2006-12,0.043,
2007-01,0.045,
2007-02,0.057,
2007-03,0.043,
2007-04,0.022,
2007-05,0.052,
2007-06,0.050,
2007-07,0.045,
2007-08,0.043,
2007-09,0.033,
2007-10,0.020,
2007-11,0.008,
2007-12,0.038,
2008-01,0.541,
2008-02,0.551,
2008-03,0.050,
2008-04,0.046,
2008-05,0.043,
2008-06,0.001,
2008-07,0.078,
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,0.500,
2008-12,-,Nothing exists
2009-01,0.009,
2009-02,1.181,
2009-03,0.629,
2009-04,1.409,
2009-05,0.009,
2009-06,0.009,
2009-07,0.659,
2009-08,0.749,
2009-09,1.749,
2009-10,0.698,
2009-11,1.753,
2009-12,0.731,
2010-01,1.652,
2010-02,0.868,
2010-03,1.320,
2010-04,2.278,
2010-05,1.513,
2010-06,1.213,
2010-07,2.796,
2010-08,1.586,
2010-09,1.552,
2010-10,1.857,
2010-11,2.231,
2010-12,1.335,
2011-01,2.188,
2011-02,1.841,
2011-03,1.808,
2011-04,2.360,
2011-05,0.418,
2011-06,0.354,
2011-07,1.111,
2011-08,0.267,
2011-09,0.020,
2011-10,0.006,
2011-11,0.156,
2011-12,0.006,
2012-01,1.139,
2012-02,0.206,
2012-03,0.106,
2012-04,0.356,
2012-05,0.456,
2012-06,0.357,
2012-07,0.207,
2012-08,0.106,
2012-09,0.106,
2012-10,0.253,
2012-11,0.080,
2012-12,0.153,
2013-01,0.129,
2013-02,0.107,
2013-03,0.105,
2013-04,0.245,
2013-05,0.405,
2013-06,0.575,
2013-07,0.735,
2013-08,0.205,
2013-09,0.205,
2013-10,0.354,
2013-11,0.254,
2013-12,0.189,
2014-01,0.104,
2014-02,0.104,
2014-03,0.205,
2014-04,0.204,
2014-05,0.204,
2014-06,0.256,
2014-07,0.154,
2014-08,0.205,
2014-09,0.258,
2014-10,0.354,
2014-11,0.004,
2014-12,0.204,Provisional value
