"",BBK01.CE3K01,BBK01.CE3K01_FLAGS
"",Net financial assets debtor: All sectors                     creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:50,
1991-01,-715.9,
1991-04,-758.5,
1991-07,-771.7,
1991-10,-785.1,
1992-01,-803.5,
1992-04,-811.3,
1992-07,-802.8,
1992-10,-744.5,
1993-01,-781.8,
1993-04,-804.8,
1993-07,-842.4,
1993-10,-851.9,
1994-01,-860.7,
1994-04,-858.4,
1994-07,-866.7,
1994-10,-857.8,
1995-01,-743.9,
1995-04,-776.4,
1995-07,-771.4,
1995-10,-799.0,
1996-01,-832.7,
1996-04,-855.3,
1996-07,-852.7,
1996-10,-872.4,
1997-01,-937.1,
1997-04,-969.4,
1997-07,-936.5,
1997-10,-984.3,
1998-01,-1060.9,
1998-04,-1147.4,
1998-07,-1045.8,
1998-10,-1083.5,
1999-01,-938.1,
1999-04,-945.2,
1999-07,-883.0,
1999-10,-1245.1,
2000-01,-1254.6,
2000-04,-1296.2,
2000-07,-1212.5,
2000-10,-1108.8,
2001-01,-1099.2,
2001-04,-1076.2,
2001-07,-1077.0,
2001-10,-1027.8,
2002-01,-1063.1,
2002-04,-1048.4,
2002-07,-976.9,
2002-10,-1067.8,
2003-01,-1060.6,
2003-04,-1090.8,
2003-07,-1102.0,
2003-10,-1179.3,
2004-01,-1244.0,
2004-04,-1202.9,
2004-07,-1178.6,
2004-10,-1214.8,
2005-01,-1230.3,
2005-04,-1212.5,
2005-07,-1209.0,
2005-10,-1187.2,
2006-01,-1511.5,
2006-04,-1475.9,
2006-07,-1402.4,
2006-10,-1408.3,
2007-01,-1441.9,
2007-04,-1556.3,
2007-07,-1544.4,
2007-10,-1566.5,
2008-01,-1443.6,
2008-04,-1396.3,
2008-07,-1315.7,
2008-10,-1235.6,
2009-01,-1196.1,
2009-04,-1230.5,
2009-07,-1241.2,
2009-10,-1256.4,
2010-01,-1254.4,
2010-04,-1231.9,
2010-07,-1276.2,
2010-10,-1529.0,
2011-01,-1470.2,
2011-04,-1505.6,
2011-07,-1396.3,
2011-10,-1374.3,
2012-01,-1444.9,
2012-04,-1395.8,
2012-07,-1454.9,
2012-10,-1441.7,
2013-01,-1501.4,
2013-04,-1522.3,
2013-07,-1526.9,
2013-10,-1618.7,
2014-01,-1662.8,
